Cycle,True_labels,Predicted_labels,Errors,Run_times
0,1,0,0,1213.127613
1,1,0,0,37.00971603
2,1,0,0,39.01481628
3,1,0,0,39.00933266
4,1,0,0,38.00845146
5,1,0,0,39.01052475
6,1,0,0,37.00852394
7,1,0,0,37.00852394
8,1,0,0,38.00916672
9,1,0,0,40.00878334
10,1,0,0,38.00964355
11,1,0,0,38.00773621
12,1,0,0,40.0083065
13,1,0,0,38.00845146
14,1,0,0,38.00868988
15,1,0,0,38.00940514
16,1,0,0,41.00894928
17,1,0,0,38.00821304
18,1,0,0,38.00916672
19,1,0,0,40.00997543
20,1,0,0,39.00718689
21,1,0,0,38.00916672
22,1,0,0,40.0094986
23,1,0,0,40.00878334
24,1,0,0,38.00749779
25,1,0,0,40.0094986
26,1,0,0,41.0091877
27,1,0,0,38.00845146
28,1,0,0,39.0086174
29,1,0,0,41.0091877
30,1,0,0,38.00988197
31,1,0,0,39.00837898
32,1,0,0,38.00916672
33,1,0,0,41.00799561
34,1,0,0,38.00868988
35,1,0,0,41.00942612
36,1,0,0,41.0091877
37,1,0,0,41.00990295
38,1,0,0,38.00797462
39,1,0,0,39.52503204
40,1,0,0,40.0083065
41,1,0,0,40.01426697
42,1,0,0,42.00839996
43,1,0,0,43.009758
44,1,0,0,38.00868988
45,1,0,0,38.00845146
46,1,0,0,40.00902176
47,1,0,0,41.01014137
48,1,0,0,40.01331329
49,1,0,0,43.00880432
50,1,0,0,42.00935364
51,1,0,0,38.01131248
52,1,0,0,39.00933266
53,1,0,0,42.00983047
54,1,0,0,42.00959206
55,1,0,0,40.00926018
56,1,0,0,46.01049423
57,1,0,0,40.00806808
58,1,0,0,38.00749779
59,1,0,0,37.00852394
60,1,0,0,40.00878334
61,1,0,0,38.00940514
62,1,0,0,37.00780869
63,1,0,0,40.00878334
64,1,0,0,42.00983047
65,1,0,0,40.00782967
66,1,0,0,37.00900078
67,1,0,0,43.01071167
68,1,0,0,43.00880432
69,1,0,0,40.00878334
70,1,0,0,40.0094986
71,1,0,0,41.00847244
72,1,0,0,40.00926018
73,1,0,0,44.00920868
74,1,0,0,45.01080513
75,1,0,0,41.00823402
76,1,0,0,39.00957108
77,1,0,0,38.00845146
78,1,0,0,41.00847244
79,1,0,0,38.00940514
80,1,0,0,38.00797462
81,1,0,0,40.00902176
82,1,0,0,38.00964355
83,1,0,0,38.00797462
84,1,0,0,40.00854492
85,1,0,0,38.0089283
86,1,0,0,38.01846504
87,1,0,0,35.99858284
88,1,0,0,39.00980949
89,1,0,0,39.00885582
90,1,0,0,38.00773621
91,1,0,0,39.07632828
92,1,0,0,39.00909424
93,1,0,0,37.13440895
94,1,0,0,37.00709343
95,1,0,0,41.00990295
96,1,0,0,37.00780869
97,1,0,0,37.0092392
98,1,0,0,39.00909424
99,1,0,0,37.0080471
100,1,0,0,39.00837898
101,1,0,0,37.01019287
102,1,0,0,40.00735283
103,1,0,0,38.00940514
104,1,0,0,37.00733185
105,1,0,0,40.0083065
106,1,0,0,39.05773163
107,1,0,0,42.14525223
108,1,0,0,39.0086174
109,1,0,0,41.00990295
110,1,0,0,39.00790215
111,1,0,0,39.00933266
112,1,0,0,43.00999641
113,1,0,0,37.00733185
114,1,0,0,41.0118103
115,1,0,0,40.17233849
116,1,0,0,41.02253914
117,1,0,0,47.00994492
118,1,0,0,50.01068115
119,1,0,0,48.01225662
120,1,0,0,43.00880432
121,1,0,0,43.01357269
122,1,0,0,45.01104355
123,1,0,0,48.01034927
124,1,0,0,47.0097065
125,1,0,0,46.01335526
126,1,0,0,47.01066017
127,1,0,0,44.9256897
128,1,0,0,45.01056671
129,1,0,0,42.00959206
130,1,0,0,51.01180077
131,1,0,0,45.01008987
132,1,0,0,52.01101303
133,1,0,0,48.99716377
134,1,0,0,42.01030731
135,1,0,0,44.00992393
136,1,0,0,41.01109505
137,1,0,0,46.0100174
138,1,0,0,45.02487183
139,1,0,0,40.01045227
140,1,0,0,43.00880432
141,1,0,0,40.0083065
142,1,0,0,39.00909424
143,1,0,0,40.0094986
144,1,0,0,42.00816154
145,1,0,0,40.25053978
146,1,0,0,39.01076317
147,1,0,0,41.00704193
148,1,0,0,40.00926018
149,1,0,0,41.0091877
150,1,0,0,40.50707817
151,1,0,0,43.00999641
152,1,0,0,40.00854492
153,1,0,0,39.00885582
154,1,0,0,41.01037979
155,1,0,0,42.0088768
156,1,0,0,39.00837898
157,1,0,0,39.00957108
158,1,0,0,40.00806808
159,1,0,0,40.00997543
160,1,0,0,40.00902176
161,1,0,0,39.00766373
162,1,0,0,38.00868988
163,1,0,0,39.00885582
164,1,0,0,37.00876236
165,1,0,0,41.00894928
166,1,0,0,38.00821304
167,1,0,0,38.0089283
168,1,0,0,44.01135445
169,1,0,0,45.00842094
170,1,0,0,38.00868988
171,1,0,0,38.00845146
172,1,0,0,42.00935364
173,1,0,0,40.00997543
174,1,0,0,40.00973701
175,1,0,0,47.00899124
176,1,0,0,46.01025581
177,1,0,0,41.01037979
178,1,0,0,46.01073265
179,1,0,0,45.0091362
180,1,0,0,44.00920868
181,1,0,0,40.01021385
182,1,0,0,43.00928116
183,1,0,0,40.00902176
184,1,0,0,40.0094986
185,0,0,0,38.00773621
186,0,0,0,42.00935364
187,0,0,0,38.0089283
188,0,0,0,39.00980949
189,0,0,0,40.00759125
190,0,0,0,234.0521812
191,0,0,0,41.01014137
192,0,0,0,47.01018333
193,0,0,0,44.01040077
194,0,0,0,39.00885582
195,0,0,0,39.00933266
196,0,0,0,41.00799561
197,0,0,0,41.00894928
198,0,0,0,41.01014137
199,0,0,0,40.0083065
200,0,0,0,42.01102257
201,0,0,0,40.00782967
202,0,0,0,41.00847244
203,0,0,0,41.00966454
204,0,0,0,38.01012039
205,0,0,0,38.00868988
206,0,0,0,39.00837898
207,0,0,0,41.0091877
208,0,0,0,39.00909424
209,0,0,0,40.00878334
210,0,0,0,42.0088768
211,0,0,0,39.01028633
212,0,0,0,39.00885582
213,0,0,0,42.00935364
214,0,0,0,42.00935364
215,0,0,0,38.0089283
216,0,0,0,37.00828552
217,0,0,0,42.00959206
218,0,0,0,39.00885582
219,0,0,0,37.00757027
220,0,0,0,38.00821304
221,0,0,0,40.00973701
222,0,0,0,38.00964355
223,0,0,0,38.00678253
224,0,0,0,40.00997543
225,0,0,0,43.00999641
226,0,0,0,40.00926018
227,0,0,0,43.00808907
228,0,0,0,44.01087761
229,0,0,0,43.00999641
230,0,0,0,39.00909424
231,0,0,0,42.00911522
232,0,0,0,38.00773621
233,0,0,0,38.0089283
234,0,0,0,44.01087761
235,0,0,0,39.00766373
236,0,0,0,41.0091877
237,0,0,0,42.00983047
238,0,0,0,42.46473312
239,0,0,0,42.37031937
240,0,0,0,41.00847244
241,0,0,0,42.00911522
242,0,0,0,39.00909424
243,0,0,0,39.00837898
244,0,0,0,40.51661491
245,0,0,0,42.00911522
246,0,0,0,41.0091877
247,0,0,0,42.00839996
248,0,0,0,41.01157188
249,0,0,0,42.00768471
250,0,0,0,44.00992393
251,0,0,0,43.00951958
252,0,0,0,43.01047325
253,0,0,0,41.00871086
254,0,0,0,39.00837898
255,0,0,0,43.00951958
256,0,0,0,40.01045227
257,0,0,0,43.00880432
258,0,0,0,48.01154137
259,0,0,0,41.00847244
260,0,0,0,44.00992393
261,0,0,0,41.0091877
262,0,0,0,41.00871086
263,0,0,0,40.01188278
264,0,0,0,44.00873184
265,0,0,0,46.0088253
266,0,0,0,40.01021385
267,0,0,0,38.00868988
268,0,0,0,38.0089283
269,0,0,0,39.00742531
270,0,0,0,42.00959206
271,0,0,0,38.00845146
272,0,0,0,40.00902176
273,0,0,0,39.00885582
274,0,0,0,39.00909424
275,0,0,0,38.00821304
276,0,0,0,43.009758
277,0,0,0,43.00951958
278,0,0,0,40.0094986
279,0,0,0,42.00959206
280,0,0,0,39.00933266
281,0,0,0,38.00916672
282,0,0,0,38.00749779
283,0,0,0,41.00847244
284,0,0,0,40.00997543
285,0,0,0,40.00878334
286,0,0,0,41.0091877
287,0,0,0,38.00821304
288,0,0,0,38.0089283
289,0,0,0,39.00885582
290,0,0,0,39.00933266
291,0,0,0,39.00814056
292,0,0,0,40.00902176
293,0,0,0,47.01161385
294,0,0,0,42.00863838
295,0,0,0,40.00878334
296,0,0,0,41.00894928
297,0,0,0,40.0094986
298,0,0,0,42.00911522
299,0,0,0,38.0089283
300,0,0,0,41.00942612
301,0,0,0,41.00847244
302,0,0,0,38.00940514
303,0,0,0,46.01049423
304,0,0,0,37.00757027
305,0,0,0,39.00885582
306,0,0,0,38.0089283
307,0,0,0,48.01249504
308,0,0,0,39.00837898
309,0,0,0,45.0091362
310,0,0,0,43.00904274
311,0,0,0,40.01188278
312,0,0,0,40.00782967
313,0,0,0,40.00926018
314,0,0,0,42.00863838
315,0,0,0,39.0086174
316,0,0,0,38.00821304
317,0,0,0,40.0083065
318,0,0,0,38.00988197
319,0,0,0,38.00868988
320,0,0,0,38.0089283
321,0,0,0,40.52066803
322,0,0,0,38.00821304
323,0,0,0,38.00821304
324,0,0,0,40.00926018
325,0,0,0,38.27857971
326,0,0,0,38.00725937
327,0,0,0,37.01019287
328,0,0,0,41.00751877
329,0,0,0,38.00821304
330,0,0,0,39.00957108
331,0,0,0,39.00885582
332,0,0,0,38.00821304
333,0,0,0,38.00868988
334,0,0,0,39.00885582
335,0,0,0,42.00959206
336,0,0,0,40.00854492
337,0,0,0,40.00926018
338,0,0,0,40.00926018
339,0,0,0,41.00894928
340,0,0,0,40.00973701
341,0,0,0,38.00797462
342,0,0,0,40.00902176
343,0,0,0,38.00797462
344,0,0,0,37.01019287
345,0,0,0,45.00937462
346,0,0,0,41.0091877
347,0,0,0,40.00854492
348,0,0,0,41.01037979
349,0,0,0,44.00897026
350,0,0,0,39.01124001
351,0,0,0,39.00647163
352,0,0,0,41.00942612
353,0,0,0,39.00885582
354,0,0,0,39.75367546
355,0,0,0,36.00788116
356,0,0,0,40.00902176
357,0,0,0,40.00902176
358,0,0,0,39.00909424
359,0,0,0,40.00854492
360,0,0,0,39.00957108
361,0,0,0,39.00837898
362,0,0,0,41.00894928
363,0,0,0,238.0547523
364,0,0,0,49.00956154
365,0,0,0,41.00966454
366,0,0,0,38.0089283
367,0,0,0,41.00894928
368,0,0,0,38.00868988
369,0,0,0,38.44428062
370,0,0,0,40.00782967
371,0,0,0,40.01021385
372,0,0,0,38.00725937
373,0,0,0,39.00909424
374,0,0,0,41.00894928
375,0,0,0,39.0086174
376,0,0,0,39.0086174
