Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,1237.2627258300781
1,1.0,0,0,42.01006889343262
2,1.0,0,0,40.009260177612305
3,1.0,0,0,42.008161544799805
4,1.0,0,0,48.012495040893555
5,1.0,0,0,43.00808906555176
6,1.0,0,0,44.019460678100586
7,1.0,0,0,39.39390182495117
8,1.0,0,0,41.010141372680664
9,1.0,0,0,43.009042739868164
10,1.0,0,0,44.00920867919922
11,1.0,0,0,41.01419448852539
12,1.0,0,0,48.010826110839844
13,1.0,0,0,41.00799560546875
14,1.0,0,0,42.009830474853516
15,1.0,0,0,44.403076171875
16,1.0,0,0,43.00975799560547
17,1.0,0,0,44.01040077209473
18,1.0,0,0,40.0083065032959
19,1.0,0,0,44.02518272399902
20,1.0,0,0,38.999080657958984
21,1.0,0,0,41.01848602294922
22,1.0,0,0,43.00522804260254
23,1.0,0,0,42.01030731201172
24,1.0,0,0,40.007591247558594
25,1.0,0,0,39.01791572570801
26,1.0,0,0,40.0087833404541
27,1.0,0,0,38.99955749511719
28,1.0,0,0,39.017677307128906
29,1.0,0,0,39.99972343444824
30,1.0,0,0,39.009809494018555
31,1.0,0,0,39.429664611816406
32,1.0,0,0,39.00885581970215
33,1.0,0,0,38.02061080932617
34,1.0,0,0,43.00975799560547
35,1.0,0,0,39.008140563964844
36,1.0,0,0,42.01054573059082
37,1.0,0,0,39.00766372680664
38,1.0,0,0,38.00821304321289
39,1.0,0,0,40.0090217590332
40,1.0,0,0,40.0090217590332
41,1.0,0,0,39.24059867858887
42,1.0,0,0,39.01076316833496
43,1.0,0,0,40.009260177612305
44,1.0,0,0,38.03086280822754
45,1.0,0,0,38.99955749511719
46,1.0,0,0,41.022300720214844
47,1.0,0,0,38.99979591369629
48,1.0,0,0,40.009260177612305
49,1.0,0,0,39.008140563964844
50,1.0,0,0,42.00911521911621
51,1.0,0,0,40.009260177612305
52,1.0,0,0,41.00751876831055
53,1.0,0,0,42.00935363769531
54,1.0,0,0,38.01727294921875
55,1.0,0,0,39.00790214538574
56,1.0,0,0,40.01021385192871
57,1.0,0,0,42.34933853149414
58,1.0,0,0,38.008928298950195
59,1.0,0,0,39.008378982543945
60,1.0,0,0,40.00973701477051
61,1.0,0,0,41.00823402404785
62,1.0,0,0,39.00885581970215
63,1.0,0,0,41.00799560546875
64,1.0,0,0,40.010929107666016
65,1.0,0,0,37.00733184814453
66,1.0,0,0,40.009498596191406
67,1.0,0,0,40.00711441040039
68,1.0,0,0,40.010690689086914
69,1.0,0,0,40.44651985168457
70,1.0,0,0,41.00823402404785
71,1.0,0,0,39.01839256286621
72,1.0,0,0,38.999319076538086
73,1.0,0,0,39.00885581970215
74,1.0,0,0,42.022705078125
75,1.0,0,0,39.998769760131836
76,1.0,0,0,40.009260177612305
77,1.0,0,0,41.00799560546875
78,1.0,0,0,43.2126522064209
79,1.0,0,0,39.00885581970215
80,1.0,0,0,40.009260177612305
81,1.0,0,0,42.00887680053711
82,1.0,0,0,39.00885581970215
83,1.0,0,0,39.00885581970215
84,1.0,0,0,43.009281158447266
85,1.0,0,0,40.009260177612305
86,1.0,0,0,38.008928298950195
87,1.0,0,0,39.00861740112305
88,1.0,0,0,41.008949279785156
89,1.0,0,0,40.00997543334961
90,1.0,0,0,39.008378982543945
91,1.0,0,0,42.00863838195801
92,1.0,0,0,43.00951957702637
93,1.0,0,0,38.00845146179199
94,1.0,0,0,42.00911521911621
95,1.0,0,0,38.00845146179199
96,1.0,0,0,40.009260177612305
97,1.0,0,0,38.007259368896484
98,1.0,0,0,42.28806495666504
99,1.0,0,0,39.008140563964844
100,1.0,0,0,38.008689880371094
101,1.0,0,0,40.008544921875
102,1.0,0,0,40.009498596191406
103,1.0,0,0,39.00909423828125
104,1.0,0,0,38.00773620605469
105,1.0,0,0,41.008949279785156
106,1.0,0,0,39.00861740112305
107,1.0,0,0,39.00861740112305
108,1.0,0,0,42.018890380859375
109,1.0,0,0,40.0090217590332
110,1.0,0,0,38.99979591369629
111,1.0,0,0,41.00942611694336
112,1.0,0,0,41.00847244262695
113,1.0,0,0,38.017988204956055
114,1.0,0,0,38.999080657958984
115,1.0,0,0,41.010379791259766
116,1.0,0,0,39.33215141296387
117,1.0,0,0,39.43181037902832
118,1.0,0,0,38.00797462463379
119,1.0,0,0,39.71219062805176
120,1.0,0,0,42.00935363769531
121,1.0,0,0,39.00909423828125
122,1.0,0,0,41.18943214416504
123,1.0,0,0,37.00733184814453
124,1.0,0,0,37.51420974731445
125,1.0,0,0,40.0090217590332
126,1.0,0,0,41.00918769836426
127,1.0,0,0,41.04042053222656
128,1.0,0,0,38.00678253173828
129,1.0,0,0,41.068077087402344
130,1.0,0,0,38.016319274902344
131,1.0,0,0,43.34855079650879
132,1.0,0,0,41.54610633850098
133,1.0,0,0,43.009281158447266
134,1.0,0,0,41.00918769836426
135,1.0,0,0,43.00975799560547
136,1.0,0,0,46.97847366333008
137,1.0,0,0,41.00823402404785
138,1.0,0,0,44.00992393493652
139,1.0,0,0,46.01097106933594
140,1.0,0,0,48.010826110839844
141,1.0,0,0,44.010162353515625
142,1.0,0,0,43.00808906555176
143,1.0,0,0,45.011043548583984
144,1.0,0,0,44.00897026062012
145,1.0,0,0,43.00951957702637
146,1.0,0,0,44.00992393493652
147,1.0,0,0,51.011085510253906
148,1.0,0,0,46.011924743652344
149,1.0,0,0,47.00899124145508
150,1.0,0,0,48.011064529418945
151,1.0,0,0,41.00942611694336
152,1.0,0,0,44.00992393493652
153,1.0,0,0,40.0090217590332
154,1.0,0,0,49.01123046875
155,1.0,0,0,47.01066017150879
156,1.0,0,0,42.00863838195801
157,1.0,0,0,44.01111602783203
158,1.0,0,0,42.008161544799805
159,1.0,0,0,42.01865196228027
160,1.0,0,0,43.00975799560547
161,1.0,0,0,40.999650955200195
162,1.0,0,0,43.00975799560547
163,1.0,0,0,39.151906967163086
164,1.0,0,0,41.00942611694336
165,1.0,0,0,37.99843788146973
166,1.0,0,0,40.01140594482422
167,1.0,0,0,41.00775718688965
168,1.0,0,0,42.01006889343262
169,1.0,0,0,39.182424545288086
170,1.0,0,0,38.0091667175293
171,1.0,0,0,40.0087833404541
172,1.0,0,0,39.00933265686035
173,1.0,0,0,42.009592056274414
174,1.0,0,0,45.00889778137207
175,1.0,0,0,40.009498596191406
176,1.0,0,0,40.0083065032959
177,1.0,0,0,39.00933265686035
178,1.0,0,0,41.00918769836426
179,1.0,0,0,37.00757026672363
180,1.0,0,0,39.00933265686035
181,1.0,0,0,39.00790214538574
182,1.0,0,0,42.01030731201172
183,1.0,0,0,40.0080680847168
184,1.0,0,0,39.008140563964844
185,1.0,0,0,41.00966453552246
186,1.0,0,0,45.009613037109375
187,1.0,0,0,41.00775718688965
188,1.0,0,0,44.01087760925293
189,1.0,0,0,44.00944709777832
190,1.0,0,0,43.01047325134277
191,1.0,0,0,42.009830474853516
192,1.0,0,0,43.00880432128906
193,1.0,0,0,44.74616050720215
194,1.0,0,0,42.011260986328125
195,1.0,0,0,44.007301330566406
196,1.0,0,0,45.01032829284668
197,1.0,0,0,42.009592056274414
198,1.0,0,0,44.01063919067383
199,1.0,0,0,44.00968551635742
200,1.0,0,0,239.57347869873047
201,1.0,0,0,38.00797462463379
202,1.0,0,0,38.007497787475586
203,1.0,0,0,41.00942611694336
204,1.0,0,0,40.0087833404541
205,1.0,0,0,39.00885581970215
206,1.0,0,0,43.00975799560547
207,1.0,0,0,39.00933265686035
208,1.0,0,0,39.008140563964844
209,1.0,0,0,38.00773620605469
210,1.0,0,0,41.008949279785156
211,1.0,0,0,39.008378982543945
212,1.0,0,0,39.00957107543945
213,1.0,0,0,43.01023483276367
214,1.0,0,0,38.007497787475586
215,1.0,0,0,38.008928298950195
216,1.0,0,0,39.00885581970215
217,1.0,0,0,41.008949279785156
218,1.0,0,0,41.010141372680664
219,1.0,0,0,39.006710052490234
220,1.0,0,0,42.01102256774902
221,1.0,0,0,38.00773620605469
222,1.0,0,0,39.00933265686035
223,1.0,0,0,39.00885581970215
224,1.0,0,0,41.00942611694336
225,1.0,0,0,39.00742530822754
226,1.0,0,0,38.0098819732666
227,1.0,0,0,40.0083065032959
228,1.0,0,0,44.00992393493652
229,1.0,0,0,39.008140563964844
230,1.0,0,0,38.008928298950195
231,1.0,0,0,42.009830474853516
232,1.0,0,0,39.00861740112305
233,1.0,0,0,39.00742530822754
234,1.0,0,0,40.01021385192871
235,1.0,0,0,40.11964797973633
236,1.0,0,0,38.01774978637695
237,1.0,0,0,44.00014877319336
238,1.0,0,0,40.0087833404541
239,1.0,0,0,40.007829666137695
240,1.0,0,0,39.00957107543945
241,1.0,0,0,40.35639762878418
242,1.0,0,0,40.021419525146484
243,1.0,0,0,40.15350341796875
244,1.0,0,0,41.00847244262695
245,1.0,0,0,39.021968841552734
246,1.0,0,0,39.01028633117676
247,1.0,0,0,41.01967811584473
248,1.0,0,0,41.86439514160156
249,1.0,0,0,37.999629974365234
250,1.0,0,0,43.02239418029785
