Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,204.7104835510254
1,1.0,0,0,24.344444274902344
2,1.0,0,0,24.71923828125
3,1.0,0,0,23.978471755981445
4,1.0,0,0,25.29597282409668
5,1.0,0,0,24.698495864868164
6,1.0,0,0,24.73759651184082
7,1.0,0,0,33.512115478515625
8,1.0,0,0,39.736270904541016
9,1.0,0,0,26.160240173339844
10,1.0,0,0,25.110721588134766
11,1.0,0,0,25.870561599731445
12,1.0,0,0,25.045394897460938
13,1.0,0,0,24.022340774536133
14,1.0,0,0,24.31774139404297
15,1.0,0,0,25.059223175048828
16,1.0,0,0,24.219989776611328
17,1.0,0,0,28.662681579589844
18,1.0,0,0,24.552345275878906
19,1.0,0,0,25.08711814880371
20,1.0,0,0,25.767087936401367
21,1.0,0,0,25.03037452697754
22,1.0,0,0,24.003267288208008
23,1.0,0,0,25.321483612060547
24,1.0,0,0,25.744915008544922
25,1.0,0,0,25.406360626220703
26,1.0,0,0,29.745817184448242
27,1.0,0,0,25.188446044921875
28,1.0,0,0,25.267362594604492
29,1.0,0,0,25.109052658081055
30,1.0,0,0,25.735855102539062
31,1.0,0,0,26.173830032348633
32,1.0,0,0,25.197982788085938
33,1.0,0,0,25.372743606567383
34,1.0,0,0,26.160001754760742
35,1.0,0,0,28.758525848388672
36,1.0,0,0,25.865554809570312
37,1.0,0,0,25.2535343170166
38,1.0,0,0,26.099443435668945
39,1.0,0,0,26.183128356933594
40,1.0,0,0,25.283336639404297
41,1.0,0,0,25.159597396850586
42,1.0,0,0,28.131723403930664
43,1.0,0,0,29.968738555908203
44,1.0,0,0,25.876760482788086
45,1.0,0,0,24.931669235229492
46,1.0,0,0,26.251792907714844
47,1.0,0,0,26.972293853759766
48,1.0,0,0,33.45632553100586
49,1.0,0,0,28.45287322998047
50,1.0,0,0,25.50816535949707
51,1.0,0,0,24.4748592376709
52,1.0,0,0,28.764009475708008
53,1.0,0,0,24.97267723083496
54,1.0,0,0,24.00350570678711
55,1.0,0,0,23.906469345092773
56,1.0,0,0,31.616926193237305
57,1.0,0,0,25.06232261657715
58,1.0,0,0,25.116443634033203
59,1.0,0,0,25.560379028320312
60,1.0,0,0,24.67203140258789
61,1.0,0,0,31.002521514892578
62,1.0,0,0,27.31156349182129
63,1.0,0,0,25.150060653686523
64,1.0,0,0,25.844573974609375
65,1.0,0,0,25.336027145385742
66,1.0,0,0,24.964570999145508
67,1.0,0,0,25.4061222076416
68,1.0,0,0,26.360511779785156
69,1.0,0,0,25.975942611694336
70,1.0,0,0,28.934717178344727
71,1.0,0,0,25.79951286315918
72,1.0,0,0,26.63278579711914
73,1.0,0,0,25.9702205657959
74,1.0,0,0,25.90322494506836
75,1.0,0,0,24.54519271850586
76,1.0,0,0,26.67522430419922
77,1.0,0,0,25.01511573791504
78,1.0,0,0,24.377107620239258
79,1.0,0,0,28.099536895751953
80,1.0,0,0,28.812408447265625
81,1.0,0,0,33.29348564147949
82,1.0,0,0,31.7537784576416
83,1.0,0,0,24.745464324951172
84,1.0,0,0,24.456262588500977
85,1.0,0,0,33.63776206970215
86,1.0,0,0,24.15180206298828
87,1.0,0,0,26.232004165649414
88,1.0,0,0,28.37228775024414
89,1.0,0,0,25.13575553894043
90,1.0,0,0,25.257110595703125
