Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,390.95282554626465
1,1.0,0,0,23.433446884155273
2,1.0,0,0,24.712800979614258
3,1.0,0,0,24.16825294494629
4,1.0,0,0,23.777246475219727
5,1.0,0,0,23.68640899658203
6,1.0,0,0,23.32592010498047
7,1.0,0,0,23.19502830505371
8,1.0,0,0,23.418188095092773
9,1.0,0,0,23.434877395629883
10,1.0,0,0,23.929834365844727
11,1.0,0,0,28.11408042907715
12,1.0,0,0,23.61583709716797
13,1.0,0,0,24.237632751464844
14,1.0,0,0,23.205041885375977
15,1.0,0,0,23.4375
16,1.0,0,0,23.2696533203125
17,1.0,0,0,22.759437561035156
18,1.0,0,0,23.36597442626953
19,1.0,0,0,23.255586624145508
20,1.0,0,0,26.502609252929688
21,1.0,0,0,23.412227630615234
22,1.0,0,0,23.162126541137695
23,1.0,0,0,23.33855628967285
24,1.0,0,0,23.613929748535156
25,1.0,0,0,23.302316665649414
26,1.0,0,0,24.846315383911133
27,1.0,0,0,23.841142654418945
28,1.0,0,0,23.734569549560547
29,1.0,0,0,27.283906936645508
30,1.0,0,0,23.433923721313477
31,1.0,0,0,23.517608642578125
32,1.0,0,0,24.686813354492188
33,1.0,0,0,23.235797882080078
34,1.0,0,0,23.400068283081055
35,1.0,0,0,23.366689682006836
36,1.0,0,0,23.47874641418457
37,1.0,0,0,23.607492446899414
38,1.0,0,0,26.444196701049805
39,1.0,0,0,23.462533950805664
40,1.0,0,0,23.020505905151367
41,1.0,0,0,23.263216018676758
42,1.0,0,0,23.581743240356445
43,1.0,0,0,23.09274673461914
44,1.0,0,0,23.46038818359375
45,1.0,0,0,23.407697677612305
46,1.0,0,0,26.511669158935547
47,1.0,0,0,23.602724075317383
48,1.0,0,0,23.734569549560547
49,1.0,0,0,23.660898208618164
50,1.0,0,0,22.926807403564453
51,1.0,0,0,23.610830307006836
52,1.0,0,0,26.491641998291016
53,1.0,0,0,23.943185806274414
54,1.0,0,0,23.242950439453125
55,1.0,0,0,26.704072952270508
56,1.0,0,0,23.221731185913086
57,1.0,0,0,23.381948471069336
58,1.0,0,0,23.78392219543457
59,1.0,0,0,23.462533950805664
60,1.0,0,0,23.148059844970703
61,1.0,0,0,23.215770721435547
62,1.0,0,0,23.070812225341797
63,1.0,0,0,23.23150634765625
64,1.0,0,0,26.765108108520508
65,1.0,0,0,23.397445678710938
66,1.0,0,0,23.870468139648438
67,1.0,0,0,23.285627365112305
68,1.0,0,0,24.00374412536621
69,1.0,0,0,23.466110229492188
70,1.0,0,0,23.48494529724121
71,1.0,0,0,23.398160934448242
72,1.0,0,0,23.4830379486084
73,1.0,0,0,27.90522575378418
74,1.0,0,0,23.849010467529297
75,1.0,0,0,25.04253387451172
76,1.0,0,0,24.071693420410156
77,1.0,0,0,23.46014976501465
78,1.0,0,0,23.54574203491211
79,1.0,0,0,23.75197410583496
80,1.0,0,0,23.4982967376709
81,1.0,0,0,23.32448959350586
82,1.0,0,0,26.975154876708984
83,1.0,0,0,24.200916290283203
84,1.0,0,0,23.613929748535156
85,1.0,0,0,23.45561981201172
86,1.0,0,0,23.340225219726562
87,1.0,0,0,23.354291915893555
88,1.0,0,0,23.1630802154541
89,1.0,0,0,24.099349975585938
90,1.0,0,0,23.166656494140625
91,1.0,0,0,26.84760093688965
92,1.0,0,0,23.209095001220703
93,1.0,0,0,23.295164108276367
94,1.0,0,0,29.038190841674805
95,1.0,0,0,23.268461227416992
96,1.0,0,0,23.56719970703125
97,1.0,0,0,23.163795471191406
98,1.0,0,0,23.486614227294922
99,1.0,0,0,24.00803565979004
100,1.0,0,0,26.87382698059082
101,1.0,0,0,24.025917053222656
102,1.0,0,0,24.09648895263672
103,1.0,0,0,23.630857467651367
104,1.0,0,0,23.518085479736328
105,1.0,0,0,23.888587951660156
106,1.0,0,0,24.097442626953125
107,1.0,0,0,23.386478424072266
108,1.0,0,0,26.218414306640625
109,1.0,0,0,24.724483489990234
110,1.0,0,0,23.59175682067871
111,1.0,0,0,23.5748291015625
112,1.0,0,0,23.26512336730957
113,1.0,0,0,23.167133331298828
114,1.0,0,0,23.406267166137695
115,1.0,0,0,24.438858032226562
116,1.0,0,0,24.65224266052246
117,1.0,0,0,27.225971221923828
