Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,840.054988861084
1,1.0,0,0,27.76336669921875
2,1.0,0,0,28.292179107666016
3,1.0,0,0,26.843547821044922
4,1.0,0,0,26.157617568969727
5,1.0,0,0,27.743101119995117
6,1.0,0,0,28.748035430908203
7,1.0,0,0,26.20530128479004
8,1.0,0,0,26.839494705200195
9,1.0,0,0,25.52628517150879
10,1.0,0,0,26.12590789794922
11,1.0,0,0,27.942895889282227
12,1.0,0,0,24.833202362060547
13,1.0,0,0,24.808645248413086
14,1.0,0,0,24.737119674682617
15,1.0,0,0,24.590015411376953
16,1.0,0,0,24.879932403564453
17,1.0,0,0,24.224281311035156
18,1.0,0,0,23.607730865478516
19,1.0,0,0,24.20186996459961
20,1.0,0,0,27.00662612915039
21,1.0,0,0,23.786544799804688
22,1.0,0,0,24.284839630126953
23,1.0,0,0,23.560047149658203
24,1.0,0,0,24.10101890563965
25,1.0,0,0,23.804187774658203
26,1.0,0,0,24.193525314331055
27,1.0,0,0,23.3917236328125
28,1.0,0,0,23.66781234741211
29,1.0,0,0,26.780366897583008
30,1.0,0,0,23.726224899291992
31,1.0,0,0,23.40841293334961
32,1.0,0,0,23.329496383666992
33,1.0,0,0,23.237228393554688
34,1.0,0,0,23.514986038208008
35,1.0,0,0,23.85401725769043
36,1.0,0,0,24.14393424987793
37,1.0,0,0,24.152755737304688
38,1.0,0,0,27.15158462524414
39,1.0,0,0,23.251056671142578
40,1.0,0,0,23.26035499572754
41,1.0,0,0,24.137496948242188
42,1.0,0,0,23.87857437133789
43,1.0,0,0,23.74720573425293
44,1.0,0,0,23.86784553527832
45,1.0,0,0,23.378849029541016
46,1.0,0,0,26.55792236328125
47,1.0,0,0,23.284196853637695
48,1.0,0,0,23.864030838012695
49,1.0,0,0,23.56410026550293
50,1.0,0,0,23.24700355529785
51,1.0,0,0,23.511171340942383
52,1.0,0,0,23.492097854614258
53,1.0,0,0,24.034500122070312
54,1.0,0,0,23.95343780517578
55,1.0,0,0,26.94988250732422
56,1.0,0,0,24.97386932373047
57,1.0,0,0,24.897336959838867
58,1.0,0,0,24.58477020263672
59,1.0,0,0,23.339033126831055
60,1.0,0,0,23.46205711364746
61,1.0,0,0,23.70595932006836
62,1.0,0,0,23.365020751953125
63,1.0,0,0,23.481130599975586
64,1.0,0,0,27.28891372680664
65,1.0,0,0,23.66948127746582
66,1.0,0,0,24.539947509765625
67,1.0,0,0,23.6208438873291
68,1.0,0,0,24.981260299682617
69,1.0,0,0,24.635791778564453
70,1.0,0,0,23.82946014404297
71,1.0,0,0,23.836374282836914
72,1.0,0,0,24.40953254699707
73,1.0,0,0,27.20808982849121
74,1.0,0,0,23.712873458862305
75,1.0,0,0,23.56863021850586
76,1.0,0,0,24.66273307800293
77,1.0,0,0,24.72710609436035
78,1.0,0,0,24.441003799438477
79,1.0,0,0,24.554729461669922
80,1.0,0,0,24.71303939819336
81,1.0,0,0,24.415016174316406
82,1.0,0,0,26.976585388183594
83,1.0,0,0,23.849964141845703
84,1.0,0,0,23.888587951660156
85,1.0,0,0,23.94843101501465
86,1.0,0,0,24.363994598388672
87,1.0,0,0,23.45895767211914
88,1.0,0,0,23.756742477416992
89,1.0,0,0,24.094104766845703
90,1.0,0,0,24.179697036743164
91,1.0,0,0,26.540756225585938
92,1.0,0,0,24.361371994018555
93,1.0,0,0,23.404836654663086
94,1.0,0,0,23.593902587890625
95,1.0,0,0,24.019718170166016
96,1.0,0,0,24.973392486572266
97,1.0,0,0,24.0786075592041
98,1.0,0,0,23.72121810913086
99,1.0,0,0,24.947643280029297
100,1.0,0,0,27.65798568725586
101,1.0,0,0,23.21934700012207
102,1.0,0,0,23.569822311401367
103,1.0,0,0,23.396730422973633
104,1.0,0,0,23.43297004699707
105,1.0,0,0,23.34284782409668
106,1.0,0,0,24.708032608032227
107,1.0,0,0,23.926496505737305
108,1.0,0,0,27.13751792907715
109,1.0,0,0,23.357391357421875
110,1.0,0,0,23.526430130004883
111,1.0,0,0,23.34141731262207
112,1.0,0,0,23.1935977935791
113,1.0,0,0,23.395538330078125
114,1.0,0,0,23.53811264038086
115,1.0,0,0,23.369550704956055
116,1.0,0,0,23.780107498168945
117,1.0,0,0,27.413129806518555
