Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,451.8585205078125
1,1.0,0,0,26.932477951049805
2,1.0,0,0,35.921573638916016
3,1.0,0,0,26.227235794067383
4,1.0,0,0,27.11939811706543
5,1.0,0,0,27.668237686157227
6,1.0,0,0,27.22001075744629
7,1.0,0,0,30.983924865722656
8,1.0,0,0,26.96514129638672
9,1.0,0,0,29.198646545410156
10,1.0,0,0,27.123689651489258
11,1.0,0,0,26.194095611572266
12,1.0,0,0,29.281139373779297
13,1.0,0,0,29.281139373779297
14,1.0,0,0,27.83346176147461
15,1.0,0,0,28.288602828979492
16,1.0,0,0,33.91742706298828
17,1.0,0,0,27.91595458984375
18,1.0,0,0,37.61434555053711
19,1.0,0,0,30.449628829956055
20,1.0,0,0,27.650833129882812
21,1.0,0,0,26.95941925048828
22,1.0,0,0,29.37173843383789
23,1.0,0,0,30.144453048706055
24,1.0,0,0,27.70543098449707
25,1.0,0,0,32.575368881225586
26,1.0,0,0,29.16097640991211
27,1.0,0,0,28.211116790771484
28,1.0,0,0,29.181957244873047
29,1.0,0,0,27.614593505859375
30,1.0,0,0,27.072668075561523
31,1.0,0,0,27.085542678833008
32,1.0,0,0,27.437448501586914
33,1.0,0,0,28.160572052001953
34,1.0,0,0,32.29951858520508
35,1.0,0,0,27.703046798706055
36,1.0,0,0,27.98771858215332
37,1.0,0,0,27.21095085144043
38,1.0,0,0,26.247501373291016
39,1.0,0,0,26.21150016784668
40,1.0,0,0,39.33572769165039
41,1.0,0,0,30.736923217773438
42,1.0,0,0,28.213024139404297
43,1.0,0,0,42.2360897064209
44,1.0,0,0,25.22420883178711
45,1.0,0,0,26.416778564453125
46,1.0,0,0,35.913944244384766
47,1.0,0,0,26.68285369873047
48,1.0,0,0,25.699853897094727
49,1.0,0,0,26.920557022094727
50,1.0,0,0,30.835628509521484
51,1.0,0,0,29.940366744995117
52,1.0,0,0,31.646728515625
53,1.0,0,0,31.158447265625
54,1.0,0,0,28.43499183654785
55,1.0,0,0,27.397632598876953
56,1.0,0,0,26.90410614013672
57,1.0,0,0,29.213905334472656
58,1.0,0,0,28.78856658935547
59,1.0,0,0,26.752710342407227
60,1.0,0,0,26.998519897460938
61,1.0,0,0,31.004905700683594
62,1.0,0,0,27.17757225036621
63,1.0,0,0,27.77862548828125
64,1.0,0,0,29.66785430908203
65,1.0,0,0,27.832508087158203
66,1.0,0,0,27.614593505859375
67,1.0,0,0,28.229236602783203
68,1.0,0,0,35.500288009643555
69,1.0,0,0,31.23950958251953
70,1.0,0,0,27.144908905029297
71,1.0,0,0,28.29265594482422
72,1.0,0,0,27.58932113647461
73,1.0,0,0,27.86397933959961
74,1.0,0,0,30.365943908691406
75,1.0,0,0,36.25345230102539
76,1.0,0,0,33.93220901489258
77,1.0,0,0,26.576519012451172
78,1.0,0,0,31.684160232543945
79,1.0,0,0,27.06599235534668
80,1.0,0,0,26.95941925048828
81,1.0,0,0,29.421329498291016
82,1.0,0,0,29.103755950927734
83,1.0,0,0,27.19426155090332
84,1.0,0,0,29.320955276489258
85,1.0,0,0,26.75771713256836
