Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,1,1,374.4678497314453
1,1.0,1,1,27.033567428588867
2,1.0,1,1,26.91340446472168
3,1.0,1,1,27.035951614379883
4,1.0,1,1,26.91340446472168
5,1.0,1,1,26.2300968170166
6,1.0,1,1,31.125307083129883
7,1.0,1,1,31.711101531982422
8,1.0,1,1,25.71582794189453
9,1.0,0,0,25.63333511352539
10,1.0,0,0,24.294376373291016
11,1.0,0,0,24.808883666992188
12,1.0,0,0,25.208234786987305
13,1.0,0,0,25.37846565246582
14,1.0,0,0,24.637699127197266
15,1.0,0,0,24.553298950195312
16,1.0,0,0,29.74081039428711
17,1.0,0,0,26.247739791870117
18,1.0,0,0,26.125192642211914
19,1.0,0,0,26.105403900146484
20,1.0,0,0,27.05669403076172
21,1.0,0,0,28.67913246154785
22,1.0,0,0,31.302452087402344
23,1.0,0,0,25.927305221557617
24,1.0,0,0,25.53701400756836
25,1.0,0,0,30.704021453857422
26,1.0,0,0,26.595592498779297
27,1.0,0,0,26.363611221313477
28,1.0,0,0,25.999784469604492
29,1.0,0,0,26.07893943786621
30,1.0,0,0,26.006221771240234
31,1.0,0,0,26.062965393066406
32,1.0,0,0,25.262832641601562
33,1.0,0,0,26.255130767822266
34,1.0,0,0,30.17592430114746
35,1.0,0,0,25.042295455932617
36,1.0,0,0,24.845123291015625
37,1.0,0,0,24.95098114013672
38,1.0,0,0,25.174617767333984
39,1.0,0,0,24.246692657470703
40,1.0,0,0,24.39713478088379
41,1.0,0,0,23.813724517822266
42,1.0,0,0,24.194955825805664
43,1.0,0,0,29.31046485900879
44,1.0,0,0,26.053667068481445
45,1.0,0,0,26.108503341674805
46,1.0,0,0,26.60059928894043
47,1.0,0,0,25.899648666381836
48,1.0,0,0,25.32172203063965
49,1.0,0,0,25.214195251464844
50,1.0,0,0,29.623985290527344
51,1.0,0,0,35.08305549621582
52,1.0,0,0,41.101932525634766
53,1.0,0,0,30.668258666992188
54,1.0,0,0,25.714635848999023
55,1.0,0,0,33.564090728759766
56,1.0,0,0,35.875797271728516
57,1.0,0,0,25.707006454467773
58,1.0,0,0,25.84362030029297
59,1.0,0,0,25.484085083007812
60,1.0,0,0,25.94304084777832
61,1.0,0,0,30.148029327392578
62,1.0,0,0,25.771141052246094
63,1.0,0,0,26.247262954711914
64,1.0,0,0,25.59041976928711
65,1.0,0,0,25.75230598449707
66,1.0,0,0,25.195837020874023
67,1.0,0,0,25.183439254760742
68,1.0,0,0,24.0938663482666
69,1.0,0,0,28.251171112060547
70,1.0,0,0,25.875568389892578
71,1.0,0,0,25.99620819091797
72,1.0,0,0,25.7570743560791
73,1.0,0,0,25.394439697265625
74,1.0,0,0,25.14171600341797
75,1.0,0,0,25.93851089477539
76,1.0,0,0,25.226593017578125
77,1.0,0,0,25.18749237060547
78,1.0,0,0,29.258251190185547
79,1.0,0,0,25.6044864654541
80,1.0,0,0,26.381254196166992
81,1.0,0,0,27.57096290588379
82,1.0,0,0,26.275634765625
83,1.0,0,0,25.583982467651367
84,1.0,0,0,25.833845138549805
85,1.0,1,1,25.644540786743164
86,1.0,1,1,26.403188705444336
87,1.0,1,1,29.4342041015625
88,1.0,1,1,26.345014572143555
89,1.0,1,1,26.3671875
90,1.0,1,1,25.950193405151367
91,1.0,1,1,25.781631469726562
92,1.0,1,1,26.132822036743164
93,1.0,1,1,25.657176971435547
94,1.0,1,1,25.96735954284668
95,1.0,1,1,26.503562927246094
96,1.0,1,1,30.440092086791992
97,1.0,1,1,24.651527404785156
98,1.0,1,1,25.15554428100586
99,1.0,1,1,25.582313537597656
100,1.0,1,1,25.83146095275879
101,1.0,1,1,25.951147079467773
102,1.0,1,1,25.214195251464844
103,1.0,1,1,25.92158317565918
104,1.0,1,1,25.68960189819336
105,1.0,1,1,30.185222625732422
106,1.0,1,1,25.246381759643555
107,1.0,1,1,24.207592010498047
108,1.0,1,1,24.17302131652832
109,1.0,1,1,24.695396423339844
110,1.0,1,1,24.182558059692383
111,1.0,1,1,24.087190628051758
112,1.0,1,1,23.81157875061035
113,1.0,1,1,31.955242156982422
114,1.0,1,1,29.8001766204834
115,1.0,1,1,25.833606719970703
116,1.0,1,1,25.676250457763672
117,1.0,1,1,25.742292404174805
118,1.0,1,1,25.06279945373535
119,1.0,1,1,27.626514434814453
120,1.0,1,1,34.92546081542969
121,1.0,1,1,29.66761589050293
122,1.0,1,1,25.7108211517334
123,1.0,1,1,29.461145401000977
124,1.0,1,1,26.297569274902344
125,1.0,1,1,25.969505310058594
126,1.0,1,1,26.447296142578125
127,1.0,1,1,27.123451232910156
128,1.0,1,1,26.004552841186523
129,1.0,1,1,26.12018585205078
130,1.0,1,1,25.38895606994629
131,1.0,1,1,29.27994728088379
132,1.0,1,1,25.961637496948242
133,1.0,1,1,26.3974666595459
134,1.0,1,1,26.32427215576172
135,1.0,1,1,25.621414184570312
136,1.0,1,1,26.005268096923828
137,1.0,1,1,25.29144287109375
138,1.0,1,1,24.990320205688477
139,1.0,1,1,25.389909744262695
140,1.0,1,1,30.11488914489746
141,1.0,1,1,24.83344078063965
142,1.0,1,1,24.64890480041504
143,1.0,1,1,32.85694122314453
144,1.0,1,1,23.883819580078125
145,1.0,1,1,24.09815788269043
146,1.0,1,1,23.775577545166016
147,1.0,1,1,23.776769638061523
148,1.0,1,1,31.47149085998535
149,1.0,1,1,29.25705909729004
150,1.0,1,1,24.83844757080078
151,1.0,1,1,32.109975814819336
152,1.0,1,1,24.89328384399414
153,1.0,1,1,25.135278701782227
154,1.0,1,1,25.623083114624023
155,1.0,1,1,25.104284286499023
156,1.0,1,1,25.340795516967773
157,1.0,1,1,26.423215866088867
158,1.0,1,1,30.179738998413086
159,1.0,1,1,25.99501609802246
160,1.0,1,1,26.067495346069336
161,1.0,1,1,25.98285675048828
162,1.0,1,1,26.21603012084961
163,1.0,1,1,25.828123092651367
164,1.0,1,1,25.23326873779297
165,1.0,1,1,26.568889617919922
166,1.0,1,1,25.45452117919922
167,1.0,1,1,30.23838996887207
168,1.0,1,1,26.18241310119629
169,1.0,1,1,26.485204696655273
170,1.0,1,1,26.560306549072266
171,1.0,1,1,26.069164276123047
172,1.0,1,1,27.019023895263672
173,1.0,1,1,26.310205459594727
174,1.0,1,1,26.044130325317383
175,1.0,1,1,27.052879333496094
176,1.0,1,1,33.01811218261719
177,1.0,1,1,24.035215377807617
178,1.0,1,1,24.044513702392578
179,1.0,1,1,31.215429306030273
180,1.0,1,1,24.395465850830078
181,1.0,1,1,23.926496505737305
182,1.0,1,1,24.28412437438965
183,1.0,1,1,24.020910263061523
184,1.0,1,1,33.20646286010742
185,1.0,1,1,29.328584671020508
186,1.0,1,1,25.279998779296875
187,1.0,1,1,25.78449249267578
188,1.0,1,1,25.780439376831055
189,1.0,1,1,25.138139724731445
190,1.0,1,1,26.026010513305664
191,1.0,1,1,26.13663673400879
192,1.0,1,1,25.85577964782715
193,1.0,1,1,30.003786087036133
194,1.0,1,1,28.728961944580078
195,1.0,1,1,33.42390060424805
196,1.0,1,1,35.884857177734375
197,1.0,1,1,35.70365905761719
198,1.0,1,1,30.550479888916016
199,1.0,1,1,26.24344825744629
200,1.0,1,1,33.902883529663086
201,1.0,1,1,27.0230770111084
202,1.0,1,1,30.025005340576172
203,1.0,1,1,29.863595962524414
204,1.0,1,1,24.764060974121094
205,1.0,1,1,24.977922439575195
206,1.0,1,1,24.878263473510742
207,1.0,1,1,24.518728256225586
208,1.0,1,1,24.469852447509766
209,1.0,1,1,24.39403533935547
210,1.0,1,1,25.472402572631836
211,1.0,1,1,30.869722366333008
212,1.0,1,1,25.908470153808594
213,1.0,1,1,26.180505752563477
214,1.0,1,1,25.679588317871094
215,1.0,1,1,26.02839469909668
216,1.0,1,1,25.776147842407227
217,1.0,1,1,26.4434814453125
218,1.0,1,1,25.77042579650879
219,1.0,1,1,25.928020477294922
220,1.0,1,1,30.666112899780273
221,1.0,1,1,26.1690616607666
222,1.0,1,1,25.739192962646484
223,1.0,1,1,26.098251342773438
224,1.0,1,1,26.239871978759766
225,1.0,1,1,25.88200569152832
226,1.0,1,1,32.18650817871094
