Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,5208.292484283447
1,1.0,0,0,44.22807693481445
2,1.0,0,0,44.00968551635742
3,1.0,0,0,46.01097106933594
4,1.0,0,0,46.00930213928223
5,1.0,0,0,52.013397216796875
6,1.0,0,0,47.01066017150879
7,1.0,0,0,46.009063720703125
8,1.0,0,0,51.0106086730957
9,1.0,0,0,46.01144790649414
10,1.0,0,0,47.011613845825195
11,1.0,0,0,47.00922966003418
12,1.0,0,0,43.00880432128906
13,1.0,0,0,44.01063919067383
14,1.0,0,0,44.01135444641113
15,1.0,0,0,45.00842094421387
16,1.0,0,0,44.00944709777832
17,1.0,0,0,43.01023483276367
18,1.0,0,0,47.01113700866699
19,1.0,0,0,45.0131893157959
20,1.0,0,0,44.010162353515625
21,1.0,0,0,44.00968551635742
22,1.0,0,0,42.021989822387695
23,1.0,0,0,45.01056671142578
24,1.0,0,0,45.00913619995117
25,1.0,0,0,47.011613845825195
26,1.0,0,0,44.00944709777832
27,1.0,0,0,44.00968551635742
28,1.0,0,0,45.01008987426758
29,1.0,0,0,43.009281158447266
30,1.0,0,0,46.01001739501953
31,1.0,0,0,45.01080513000488
32,1.0,0,0,46.00954055786133
33,1.0,0,0,46.01120948791504
34,1.0,0,0,43.00975799560547
35,1.0,0,0,46.00930213928223
36,1.0,0,0,44.00992393493652
37,1.0,0,0,44.01111602783203
38,1.0,0,0,43.00832748413086
39,1.0,0,0,45.00985145568848
40,1.0,0,0,44.00992393493652
41,1.0,0,0,43.01047325134277
42,1.0,0,0,46.010732650756836
43,1.0,0,0,45.00937461853027
44,1.0,0,0,42.01006889343262
45,1.0,0,0,44.00897026062012
46,1.0,0,0,49.0109920501709
47,1.0,0,0,45.009613037109375
48,1.0,0,0,48.011064529418945
49,1.0,0,0,50.01187324523926
50,1.0,0,0,48.01154136657715
51,1.0,0,0,44.00920867919922
52,1.0,0,0,48.009634017944336
53,1.0,0,0,45.01080513000488
54,1.0,0,0,44.00968551635742
55,1.0,0,0,44.010162353515625
56,1.0,0,0,45.00913619995117
57,1.0,0,0,44.01040077209473
58,1.0,0,0,45.00985145568848
59,1.0,0,0,45.84932327270508
60,1.0,0,0,49.012184143066406
61,1.0,0,0,49.008846282958984
62,1.0,0,0,46.012163162231445
63,1.0,0,0,47.12414741516113
64,1.0,0,0,43.00880432128906
65,1.0,0,0,45.01032829284668
66,1.0,0,0,46.01144790649414
67,1.0,0,0,44.00968551635742
68,1.0,0,0,43.00856590270996
69,1.0,0,0,43.009281158447266
70,1.0,0,0,45.01080513000488
71,1.0,0,0,44.67201232910156
72,1.0,0,0,45.00102996826172
73,1.0,0,0,45.392751693725586
74,1.0,0,0,43.013572692871094
75,1.0,0,0,44.008493423461914
76,1.0,0,0,44.010162353515625
77,1.0,0,0,46.00977897644043
78,1.0,0,0,43.00999641418457
79,1.0,0,0,43.00880432128906
80,1.0,0,0,44.00992393493652
81,1.0,0,0,43.00951957702637
82,1.0,0,0,42.00935363769531
83,1.0,0,0,45.01008987426758
84,1.0,0,0,44.01040077209473
85,1.0,0,0,44.008731842041016
86,1.0,0,0,45.01080513000488
87,1.0,0,0,47.01042175292969
88,1.0,0,0,44.00920867919922
89,1.0,0,0,43.00951957702637
90,1.0,0,0,45.011281967163086
91,1.0,0,0,42.90914535522461
92,1.0,0,0,45.01223564147949
93,1.0,0,0,43.01881790161133
94,1.0,0,0,46.00214958190918
95,1.0,0,0,43.00880432128906
96,1.0,0,0,44.010162353515625
