Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,208.8322639465332
1,1.0,0,0,27.354001998901367
2,1.0,0,0,26.22389793395996
3,1.0,0,0,27.675628662109375
4,1.0,0,0,26.92556381225586
5,1.0,0,0,31.474590301513672
6,1.0,0,0,26.12781524658203
7,1.0,0,0,25.55370330810547
8,1.0,0,0,25.618314743041992
9,1.0,0,0,26.777267456054688
10,1.0,0,0,29.529333114624023
11,1.0,0,0,34.291982650756836
12,1.0,0,0,28.584003448486328
13,1.0,0,0,27.646541595458984
14,1.0,0,0,31.27598762512207
15,1.0,0,0,26.614665985107422
16,1.0,0,0,37.284135818481445
17,1.0,0,0,25.835752487182617
18,1.0,0,0,27.536392211914062
19,1.0,0,0,27.29654312133789
20,1.0,0,0,30.573129653930664
21,1.0,0,0,27.562618255615234
22,1.0,0,0,26.445627212524414
23,1.0,0,0,30.27629852294922
24,1.0,0,0,25.803327560424805
25,1.0,0,0,25.36797523498535
26,1.0,0,0,26.478290557861328
27,1.0,0,0,26.699542999267578
28,1.0,0,0,25.710105895996094
29,1.0,0,0,25.952816009521484
30,1.0,0,0,25.501489639282227
31,1.0,0,0,25.8791446685791
32,1.0,0,0,29.50000762939453
33,1.0,0,0,26.364803314208984
34,1.0,0,0,25.70819854736328
35,1.0,0,0,26.287555694580078
36,1.0,0,0,25.452375411987305
37,1.0,0,0,26.045560836791992
38,1.0,0,0,25.97522735595703
39,1.0,0,0,25.788307189941406
40,1.0,0,0,25.87270736694336
41,1.0,0,0,30.03716468811035
42,1.0,0,0,37.76383399963379
43,1.0,0,0,37.49537467956543
44,1.0,0,0,37.69230842590332
45,1.0,0,0,37.25838661193848
46,1.0,0,0,26.694536209106445
47,1.0,0,0,25.728702545166016
48,1.0,0,0,26.34119987487793
49,1.0,0,0,29.37936782836914
50,1.0,0,0,26.3516902923584
51,1.0,0,0,25.41184425354004
52,1.0,0,0,25.725841522216797
53,1.0,0,0,25.467872619628906
54,1.0,0,0,26.04532241821289
55,1.0,0,0,25.516271591186523
56,1.0,0,0,26.39293670654297
57,1.0,0,0,25.543212890625
58,1.0,0,0,30.91287612915039
59,1.0,0,0,26.641368865966797
60,1.0,0,0,26.031017303466797
61,1.0,0,0,25.049448013305664
62,1.0,0,0,25.211811065673828
63,1.0,0,0,26.346206665039062
64,1.0,0,0,27.005910873413086
65,1.0,0,0,28.3358097076416
66,1.0,0,0,27.019262313842773
67,1.0,0,0,31.834125518798828
68,1.0,0,0,26.874303817749023
69,1.0,0,0,26.586294174194336
70,1.0,0,0,27.74524688720703
71,1.0,0,0,43.35141181945801
72,1.0,0,0,25.824546813964844
73,1.0,0,0,26.23462677001953
74,1.0,0,0,27.12845802307129
75,1.0,0,0,27.648210525512695
76,1.0,0,0,31.75973892211914
77,1.0,0,0,26.033401489257812
78,1.0,0,0,26.51500701904297
79,1.0,0,0,26.26657485961914
80,1.0,0,0,26.91483497619629
81,1.0,0,0,26.790380477905273
82,1.0,0,0,25.933027267456055
83,1.0,0,0,26.50904655456543
84,1.0,0,0,28.20563316345215
85,1.0,0,0,31.906843185424805
86,1.0,0,0,27.207612991333008
87,1.0,0,0,25.3293514251709
88,1.0,0,0,26.64327621459961
89,1.0,0,0,26.63135528564453
90,1.0,0,0,27.057409286499023
91,1.0,0,0,27.33778953552246
92,1.0,0,0,28.438806533813477
