Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,1,1,2838.4408950805664
1,1.0,1,1,27.08148956298828
2,1.0,1,1,29.239654541015625
3,1.0,1,1,118.9107894897461
4,1.0,1,1,25.336742401123047
5,1.0,1,1,26.352882385253906
6,1.0,1,1,24.69015121459961
7,1.0,1,1,24.77574348449707
8,1.0,1,1,24.35302734375
9,1.0,1,1,25.425434112548828
10,1.0,1,1,24.89757537841797
11,1.0,1,1,24.59716796875
12,1.0,1,1,27.363300323486328
13,1.0,1,1,24.284839630126953
14,1.0,1,1,24.582386016845703
15,1.0,1,1,24.120569229125977
16,1.0,1,1,25.845766067504883
17,1.0,1,1,25.468111038208008
18,1.0,1,1,24.322509765625
19,1.0,1,1,23.859500885009766
20,1.0,1,1,25.09284019470215
21,1.0,1,1,28.150320053100586
22,1.0,1,1,24.373531341552734
23,1.0,1,1,24.19304847717285
24,1.0,1,1,24.24788475036621
25,1.0,1,1,24.438142776489258
26,1.0,1,1,25.730371475219727
27,1.0,1,1,24.947643280029297
28,1.0,1,1,23.929357528686523
29,1.0,1,1,27.393817901611328
30,1.0,1,1,24.212360382080078
31,1.0,1,1,23.98061752319336
32,1.0,1,1,23.953676223754883
33,1.0,1,1,24.17922019958496
34,1.0,1,1,24.402141571044922
35,1.0,1,1,28.693199157714844
36,1.0,1,1,25.841951370239258
37,1.0,1,1,25.313854217529297
38,1.0,1,1,28.569459915161133
39,1.0,1,1,24.31011199951172
40,1.0,1,1,25.003433227539062
41,1.0,1,1,25.142669677734375
42,1.0,1,1,24.555444717407227
43,1.0,1,1,23.93031120300293
44,1.0,1,1,26.336193084716797
45,1.0,1,1,25.21228790283203
46,1.0,1,1,25.669574737548828
47,1.0,1,1,28.359651565551758
48,1.0,1,1,24.579763412475586
49,1.0,1,1,24.130821228027344
50,1.0,1,1,24.068593978881836
51,1.0,1,1,24.157047271728516
52,1.0,1,1,24.084806442260742
53,1.0,1,1,27.84895896911621
54,1.0,1,1,24.00803565979004
55,1.0,1,1,24.463653564453125
56,1.0,1,1,28.17368507385254
57,1.0,1,1,24.219751358032227
58,1.0,1,1,24.608373641967773
59,1.0,1,1,24.283647537231445
60,1.0,1,1,24.0175724029541
61,1.0,1,1,24.029016494750977
62,1.0,1,1,28.62381935119629
63,1.0,1,1,24.64747428894043
64,1.0,1,1,24.02663230895996
65,1.0,1,1,29.636859893798828
66,1.0,1,1,25.138378143310547
67,1.0,1,1,24.794816970825195
68,1.0,1,1,24.141550064086914
69,1.0,1,1,24.27959442138672
70,1.0,1,1,24.330854415893555
71,1.0,1,1,25.867938995361328
72,1.0,1,1,23.897409439086914
73,1.0,1,1,24.219989776611328
74,1.0,1,1,27.93717384338379
75,1.0,1,1,24.732351303100586
76,1.0,1,1,24.580717086791992
77,1.0,1,1,25.690317153930664
78,1.0,1,1,24.529457092285156
79,1.0,1,1,24.106502532958984
80,1.0,1,1,26.60202980041504
81,1.0,1,1,24.402618408203125
82,1.0,1,1,24.366140365600586
83,1.0,1,1,27.970552444458008
84,1.0,1,1,24.190425872802734
85,1.0,1,1,24.845600128173828
86,1.0,1,1,24.583816528320312
87,1.0,1,1,24.67632293701172
88,1.0,0,0,24.981975555419922
89,1.0,0,0,26.3521671295166
90,1.0,0,0,23.937225341796875
91,1.0,0,0,27.501583099365234
92,1.0,0,0,24.380207061767578
93,1.0,0,0,24.32727813720703
94,1.0,0,0,24.435758590698242
95,1.0,0,0,24.592876434326172
96,1.0,0,0,24.24478530883789
97,1.0,0,0,24.268388748168945
98,1.0,0,0,26.02982521057129
99,1.0,0,0,25.06542205810547
100,1.0,0,0,28.198719024658203
101,1.0,0,0,24.330615997314453
102,1.0,0,0,24.00660514831543
103,1.0,0,0,24.043560028076172
104,1.0,0,0,24.547576904296875
105,1.0,0,0,25.7265567779541
106,1.0,0,0,23.679256439208984
107,1.0,0,0,25.552034378051758
108,1.0,0,0,25.84242820739746
109,1.0,0,0,28.298139572143555
110,1.0,0,0,24.68419075012207
111,1.0,0,0,25.069475173950195
112,1.0,0,0,23.876667022705078
113,1.0,0,0,23.870229721069336
114,1.0,0,0,24.87635612487793
115,1.0,0,0,24.06930923461914
116,1.0,0,0,26.360273361206055
117,1.0,0,0,28.58138084411621
118,1.0,0,0,29.979228973388672
119,1.0,0,0,24.275541305541992
120,1.0,0,0,24.302244186401367
121,1.0,0,0,24.32417869567871
122,1.0,0,0,24.105310440063477
123,1.0,0,0,24.50108528137207
124,1.0,0,0,24.02973175048828
125,1.0,0,0,25.8786678314209
126,1.0,0,0,24.463891983032227
