Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,212.8894329071045
1,1.0,0,0,26.4432430267334
2,1.0,0,0,27.591705322265625
3,1.0,0,0,26.39484405517578
4,1.0,0,0,25.79474449157715
5,1.0,0,0,26.094675064086914
6,1.0,0,0,28.332233428955078
7,1.0,0,0,26.047706604003906
8,1.0,0,0,24.971961975097656
9,1.0,0,0,26.166439056396484
10,1.0,0,0,26.569366455078125
11,1.0,0,0,25.32958984375
12,1.0,0,0,25.76756477355957
13,1.0,0,0,26.714801788330078
14,1.0,0,0,25.937557220458984
15,1.0,0,0,29.82497215270996
16,1.0,0,0,25.943994522094727
17,1.0,0,0,25.77519416809082
18,1.0,0,0,25.98404884338379
19,1.0,0,0,25.74753761291504
20,1.0,0,0,24.37305450439453
21,1.0,0,0,26.033639907836914
22,1.0,0,0,25.661945343017578
23,1.0,0,0,25.233983993530273
24,1.0,0,0,30.294418334960938
25,1.0,0,0,26.247739791870117
26,1.0,0,0,25.771617889404297
27,1.0,0,0,24.81985092163086
28,1.0,0,0,26.168346405029297
29,1.0,0,0,26.12900733947754
30,1.0,0,0,36.47279739379883
31,1.0,0,0,25.26688575744629
32,1.0,0,0,29.817581176757812
33,1.0,0,0,25.59518814086914
34,1.0,0,0,26.823043823242188
35,1.0,0,0,26.833295822143555
36,1.0,0,0,26.909589767456055
37,1.0,0,0,24.68276023864746
38,1.0,0,0,26.18122100830078
39,1.0,0,0,29.391765594482422
40,1.0,0,0,27.698755264282227
41,1.0,0,0,29.95467185974121
42,1.0,0,0,37.11986541748047
43,1.0,0,0,25.460004806518555
44,1.0,0,0,25.409221649169922
45,1.0,0,0,25.384902954101562
46,1.0,0,0,25.692462921142578
47,1.0,0,0,26.510953903198242
48,1.0,0,0,26.1380672454834
49,1.0,0,0,28.226613998413086
50,1.0,0,0,32.082557678222656
51,1.0,0,0,26.543140411376953
52,1.0,0,0,25.260210037231445
53,1.0,0,0,25.072097778320312
54,1.0,0,0,28.951406478881836
55,1.0,0,0,28.189420700073242
56,1.0,0,0,25.586366653442383
57,1.0,0,0,25.85625648498535
58,1.0,0,0,38.0406379699707
59,1.0,0,0,38.11359405517578
60,1.0,0,0,27.985811233520508
61,1.0,0,0,26.7641544342041
62,1.0,0,0,35.141706466674805
63,1.0,0,0,26.717185974121094
64,1.0,0,0,36.03649139404297
65,1.0,0,0,25.665998458862305
66,1.0,0,0,26.002883911132812
67,1.0,0,0,27.296781539916992
68,1.0,0,0,29.24966812133789
69,1.0,0,0,27.044296264648438
70,1.0,0,0,26.30782127380371
