Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,1,1,481.2886714935303
1,1.0,1,1,30.64751625061035
2,1.0,1,1,29.781818389892578
3,1.0,1,1,29.15191650390625
4,1.0,1,1,28.928756713867188
5,1.0,1,1,29.65545654296875
6,1.0,1,1,46.67806625366211
7,1.0,1,1,39.101362228393555
8,1.0,1,1,27.65631675720215
9,1.0,1,1,27.96149253845215
10,1.0,1,1,39.51311111450195
11,1.0,1,1,29.451370239257812
12,1.0,1,1,36.60440444946289
13,1.0,1,1,38.105010986328125
14,1.0,1,1,30.46250343322754
15,1.0,1,1,48.89988899230957
16,1.0,1,1,41.54062271118164
17,1.0,1,1,30.237674713134766
18,1.0,1,1,29.567241668701172
19,1.0,1,1,39.37721252441406
20,1.0,1,1,30.043840408325195
21,1.0,1,1,37.52779960632324
22,1.0,1,1,28.72753143310547
23,1.0,1,1,38.86246681213379
24,1.0,1,1,40.42983055114746
25,1.0,1,1,41.34511947631836
26,1.0,1,1,29.223203659057617
27,1.0,1,1,30.097007751464844
28,1.0,1,1,30.302047729492188
29,1.0,1,1,29.266357421875
30,1.0,1,1,29.31690216064453
31,1.0,1,1,28.423070907592773
32,1.0,1,1,32.80377388000488
33,1.0,1,1,28.75542640686035
34,1.0,1,1,28.852462768554688
35,1.0,1,1,34.62862968444824
36,1.0,1,1,41.18967056274414
37,1.0,1,1,37.92881965637207
38,1.0,1,1,28.871536254882812
39,1.0,1,1,41.66436195373535
40,1.0,1,1,27.9388427734375
41,1.0,1,1,33.376216888427734
42,1.0,1,1,28.127193450927734
43,1.0,1,1,28.543949127197266
44,1.0,1,1,38.79737854003906
45,1.0,1,1,30.08127212524414
46,1.0,1,1,40.863037109375
47,1.0,1,1,29.54840660095215
48,1.0,1,1,39.14499282836914
49,1.0,1,1,28.147459030151367
50,1.0,1,1,46.41222953796387
51,1.0,1,1,30.165672302246094
52,1.0,1,1,30.512094497680664
53,1.0,1,1,42.51670837402344
54,1.0,1,1,40.35687446594238
55,1.0,1,1,28.827667236328125
56,1.0,1,1,29.179811477661133
57,1.0,1,1,29.211997985839844
58,1.0,1,1,40.45867919921875
59,1.0,1,1,33.74218940734863
60,1.0,1,1,32.38677978515625
61,1.0,1,1,34.66629981994629
62,1.0,1,1,28.612136840820312
63,1.0,1,1,28.755664825439453
64,1.0,1,1,41.93997383117676
65,1.0,1,1,42.05036163330078
66,1.0,1,1,29.148578643798828
67,1.0,1,1,40.686607360839844
68,1.0,1,1,38.983821868896484
69,1.0,1,1,29.43563461303711
70,1.0,1,1,29.157400131225586
71,1.0,1,1,35.19725799560547
72,1.0,1,1,28.865814208984375
73,1.0,1,1,29.139995574951172
74,1.0,1,1,29.43873405456543
75,1.0,1,1,30.820131301879883
76,1.0,1,1,31.20708465576172
77,1.0,1,1,35.97259521484375
78,1.0,1,1,38.713932037353516
79,1.0,0,0,44.21281814575195
80,1.0,0,0,29.541015625
81,1.0,0,0,29.90269660949707
82,1.0,0,0,41.08309745788574
83,1.0,0,0,40.06671905517578
84,1.0,0,0,31.153440475463867
85,1.0,0,0,37.24980354309082
86,1.0,0,0,37.14871406555176
87,1.0,0,0,37.82081604003906
88,1.0,0,0,30.889272689819336
89,1.0,0,0,34.861087799072266
90,1.0,0,0,38.535118103027344
91,1.0,0,0,28.92279624938965
92,1.0,0,0,28.324127197265625
93,1.0,0,0,29.33502197265625
94,1.0,0,0,32.199859619140625
95,1.0,0,0,27.7097225189209
96,1.0,0,0,27.6644229888916
97,1.0,0,0,37.79339790344238
98,1.0,0,0,38.6509895324707
99,1.0,0,0,42.37055778503418
100,1.0,0,0,42.27900505065918
101,1.0,0,0,41.532039642333984
102,1.0,0,0,38.67387771606445
103,1.0,0,0,34.28339958190918
104,1.0,0,0,29.532909393310547
105,1.0,0,0,42.13285446166992
106,1.0,0,0,31.540870666503906
107,1.0,0,0,29.34098243713379
108,1.0,0,0,28.127193450927734
109,1.0,0,0,29.07538414001465
110,1.0,0,0,28.637409210205078
111,1.0,0,0,29.017925262451172
112,1.0,0,0,34.24191474914551
113,1.0,0,0,31.10957145690918
114,1.0,0,0,43.49470138549805
115,1.0,0,0,28.88178825378418
