Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,2790.409564971924
1,1.0,0,0,28.006792068481445
2,1.0,0,0,25.186777114868164
3,1.0,0,0,121.25134468078613
4,1.0,0,0,25.074481964111328
5,1.0,0,0,26.306867599487305
6,1.0,0,0,24.619102478027344
7,1.0,0,0,24.356365203857422
8,1.0,0,0,24.404525756835938
9,1.0,0,0,25.774478912353516
10,1.0,0,0,24.946212768554688
11,1.0,0,0,24.169206619262695
12,1.0,0,0,28.03778648376465
13,1.0,0,0,24.636268615722656
14,1.0,0,0,24.448156356811523
15,1.0,0,0,24.325132369995117
16,1.0,0,0,29.282808303833008
17,1.0,0,0,25.788068771362305
18,1.0,0,0,25.691986083984375
19,1.0,0,0,25.078296661376953
20,1.0,0,0,24.25384521484375
21,1.0,0,0,28.046369552612305
22,1.0,0,0,24.491310119628906
23,1.0,0,0,24.335384368896484
24,1.0,0,0,26.256322860717773
25,1.0,0,0,26.637554168701172
26,1.0,0,0,24.34563636779785
27,1.0,0,0,24.688243865966797
28,1.0,0,0,24.200439453125
29,1.0,0,0,27.855634689331055
30,1.0,0,0,24.428367614746094
31,1.0,0,0,24.554967880249023
32,1.0,0,0,24.42002296447754
33,1.0,0,0,28.556346893310547
34,1.0,0,0,24.41692352294922
35,1.0,0,0,24.555444717407227
36,1.0,0,0,25.19822120666504
37,1.0,0,0,24.274826049804688
38,1.0,0,0,29.52432632446289
39,1.0,0,0,24.54376220703125
40,1.0,0,0,24.65510368347168
41,1.0,0,0,27.930259704589844
42,1.0,0,0,24.401187896728516
43,1.0,0,0,24.512290954589844
44,1.0,0,0,24.488449096679688
45,1.0,0,0,24.329423904418945
46,1.0,0,0,24.104595184326172
47,1.0,0,0,27.71925926208496
48,1.0,0,0,24.252653121948242
49,1.0,0,0,26.337146759033203
50,1.0,0,0,24.402618408203125
51,1.0,0,0,24.370908737182617
52,1.0,0,0,24.08313751220703
53,1.0,0,0,24.335145950317383
54,1.0,0,0,24.188995361328125
55,1.0,0,0,24.911880493164062
56,1.0,0,0,28.67293357849121
57,1.0,0,0,23.95009994506836
58,1.0,0,0,25.50220489501953
59,1.0,0,0,24.491071701049805
60,1.0,0,0,24.486064910888672
61,1.0,0,0,24.280071258544922
62,1.0,0,0,26.868343353271484
63,1.0,0,0,24.865388870239258
64,1.0,0,0,24.45220947265625
65,1.0,0,0,28.098106384277344
66,1.0,0,0,24.216413497924805
67,1.0,0,0,25.055885314941406
68,1.0,0,0,24.369001388549805
69,1.0,0,0,24.898290634155273
70,1.0,0,0,24.498701095581055
71,1.0,0,0,26.706933975219727
72,1.0,0,0,24.63531494140625
73,1.0,0,0,24.774551391601562
74,1.0,0,0,28.23638916015625
75,1.0,0,0,24.96957778930664
76,1.0,0,0,24.37591552734375
77,1.0,0,0,24.518966674804688
78,1.0,0,0,25.026559829711914
79,1.0,0,0,24.50394630432129
80,1.0,0,0,26.1685848236084
81,1.0,0,0,24.866819381713867
82,1.0,0,0,24.574995040893555
83,1.0,0,0,28.0606746673584
84,1.0,0,0,24.346351623535156
85,1.0,0,0,24.317502975463867
86,1.0,0,0,24.332761764526367
87,1.0,0,0,24.271488189697266
88,1.0,0,0,24.17278289794922
89,1.0,0,0,26.511430740356445
90,1.0,0,0,25.00772476196289
91,1.0,0,0,27.318954467773438
92,1.0,0,0,24.977922439575195
93,1.0,0,0,24.950742721557617
94,1.0,0,0,24.277687072753906
95,1.0,0,0,24.51491355895996
96,1.0,0,0,25.693178176879883
97,1.0,0,0,24.540185928344727
98,1.0,0,0,25.993824005126953
99,1.0,0,0,24.515628814697266
100,1.0,0,0,28.931379318237305
101,1.0,0,0,24.878501892089844
102,1.0,0,0,24.167776107788086
103,1.0,0,0,24.576663970947266
104,1.0,0,0,24.5974063873291
105,1.0,0,0,24.198055267333984
106,1.0,0,0,24.09815788269043
107,1.0,0,0,26.51834487915039
108,1.0,0,0,25.06732940673828
109,1.0,0,0,27.889490127563477
110,1.0,0,0,24.300336837768555
111,1.0,0,0,24.565696716308594
112,1.0,0,0,23.707866668701172
113,1.0,0,0,24.022340774536133
114,1.0,0,0,24.209260940551758
115,1.0,0,0,24.312734603881836
116,1.0,0,0,26.442289352416992
117,1.0,0,0,24.715185165405273
118,1.0,0,0,28.474092483520508
119,1.0,0,0,24.262189865112305
120,1.0,0,0,24.328947067260742
121,1.0,0,0,24.668455123901367
122,1.0,0,0,24.571657180786133
123,1.0,0,0,24.415016174316406
124,1.0,0,0,24.20520782470703
125,1.0,0,0,26.702404022216797
126,1.0,0,0,25.117158889770508
127,1.0,0,0,27.774333953857422
128,1.0,0,0,24.124622344970703
129,1.0,0,0,24.46770668029785
130,1.0,0,0,24.20806884765625
131,1.0,0,0,24.071455001831055
132,1.0,0,0,23.75340461730957
133,1.0,0,0,23.93054962158203
134,1.0,0,0,26.676654815673828
135,1.0,0,0,24.382352828979492
136,1.0,0,0,29.433488845825195
137,1.0,0,0,24.28150177001953
138,1.0,0,0,24.00350570678711
139,1.0,0,0,24.479389190673828
140,1.0,0,0,23.8494873046875
141,1.0,0,0,24.71160888671875
142,1.0,0,0,24.34396743774414
143,1.0,0,0,26.72863006591797
144,1.0,0,0,24.936914443969727
145,1.0,0,0,28.090953826904297
146,1.0,0,0,24.022340774536133
147,1.0,0,0,24.112701416015625
148,1.0,0,0,24.12557601928711
149,1.0,0,0,24.062395095825195
150,1.0,0,0,23.83565902709961
151,1.0,0,0,24.343252182006836
152,1.0,0,0,26.17502212524414
153,1.0,0,0,27.517080307006836
154,1.0,0,0,24.669170379638672
155,1.0,0,0,25.4056453704834
156,1.0,0,0,25.13861656188965
157,1.0,0,0,25.383472442626953
158,1.0,0,0,24.576902389526367
159,1.0,0,0,24.199962615966797
160,1.0,0,0,24.524688720703125
161,1.0,0,0,26.11231803894043
162,1.0,0,0,28.555631637573242
163,1.0,0,0,24.413108825683594
164,1.0,0,0,24.33466911315918
165,1.0,0,0,24.626970291137695
166,1.0,0,0,24.45697784423828
167,1.0,0,0,24.193763732910156
168,1.0,0,0,24.404525756835938
169,1.0,0,0,24.266958236694336
170,1.0,0,0,24.71137046813965
171,1.0,0,0,31.723737716674805
172,1.0,0,0,24.58953857421875
173,1.0,0,0,24.98459815979004
174,1.0,0,0,25.817155838012695
175,1.0,0,0,25.633811950683594
176,1.0,0,0,24.90544319152832
177,1.0,0,0,24.07097816467285
178,1.0,0,0,24.486064910888672
179,1.0,0,0,24.20186996459961
180,1.0,0,0,29.557228088378906
181,1.0,0,0,26.812314987182617
182,1.0,0,0,24.70850944519043
183,1.0,0,0,24.401187896728516
184,1.0,0,0,25.131702423095703
