Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,361.8206977844238
1,1.0,0,0,23.52142333984375
2,1.0,0,0,24.34372901916504
3,1.0,0,0,24.492979049682617
4,1.0,0,0,23.479700088500977
5,1.0,0,0,23.15235137939453
6,1.0,0,0,22.8884220123291
7,1.0,0,0,23.33211898803711
8,1.0,0,0,23.00095558166504
9,1.0,0,0,23.833036422729492
10,1.0,0,0,24.368762969970703
11,1.0,0,0,26.94845199584961
12,1.0,0,0,23.20384979248047
13,1.0,0,0,22.951602935791016
14,1.0,0,0,22.916555404663086
15,1.0,0,0,23.21934700012207
16,1.0,0,0,22.66693115234375
17,1.0,0,0,22.936582565307617
18,1.0,0,0,23.09560775756836
19,1.0,0,0,24.18971061706543
20,1.0,0,0,26.996850967407227
21,1.0,0,0,23.138999938964844
22,1.0,0,0,23.47707748413086
23,1.0,0,0,23.646831512451172
24,1.0,0,0,23.945093154907227
25,1.0,0,0,23.3306884765625
26,1.0,0,0,23.24676513671875
27,1.0,0,0,23.173809051513672
28,1.0,0,0,23.12302589416504
29,1.0,0,0,28.070688247680664
30,1.0,0,0,24.200439453125
31,1.0,0,0,23.374319076538086
32,1.0,0,0,22.923946380615234
33,1.0,0,0,23.162364959716797
34,1.0,0,0,22.94921875
35,1.0,0,0,24.06620979309082
36,1.0,0,0,23.069143295288086
37,1.0,0,0,24.046659469604492
38,1.0,0,0,25.916337966918945
39,1.0,0,0,23.16141128540039
40,1.0,0,0,22.793292999267578
41,1.0,0,0,22.97234535217285
42,1.0,0,0,22.66407012939453
43,1.0,0,0,22.97067642211914
44,1.0,0,0,22.896766662597656
45,1.0,0,0,22.635221481323242
46,1.0,0,0,26.117563247680664
47,1.0,0,0,23.978471755981445
48,1.0,0,0,23.637056350708008
49,1.0,0,0,23.441791534423828
50,1.0,0,0,22.86529541015625
51,1.0,0,0,23.45442771911621
52,1.0,0,0,23.381948471069336
53,1.0,0,0,23.119449615478516
54,1.0,0,0,23.18286895751953
55,1.0,0,0,26.49521827697754
56,1.0,0,0,23.096799850463867
57,1.0,0,0,23.39315414428711
58,1.0,0,0,23.998022079467773
59,1.0,0,0,23.632049560546875
60,1.0,0,0,23.596525192260742
61,1.0,0,0,23.694515228271484
62,1.0,0,0,23.543357849121094
63,1.0,0,0,23.873329162597656
64,1.0,0,0,26.347875595092773
65,1.0,0,0,23.691177368164062
66,1.0,0,0,23.610591888427734
67,1.0,0,0,23.18739891052246
68,1.0,0,0,23.42987060546875
69,1.0,0,0,23.239612579345703
70,1.0,0,0,23.559093475341797
71,1.0,0,0,22.945404052734375
72,1.0,0,0,24.81365203857422
73,1.0,0,0,27.28724479675293
74,1.0,0,0,23.5593318939209
75,1.0,0,0,23.860454559326172
76,1.0,0,0,23.21457862854004
77,1.0,0,0,23.409605026245117
78,1.0,0,0,22.942304611206055
79,1.0,0,0,23.894071578979492
80,1.0,0,0,23.111820220947266
81,1.0,0,0,23.252248764038086
82,1.0,0,0,27.07362174987793
83,1.0,0,0,23.813486099243164
84,1.0,0,0,23.420333862304688
85,1.0,0,0,23.934364318847656
86,1.0,0,0,23.89383316040039
87,1.0,0,0,23.398876190185547
88,1.0,0,0,23.13852310180664
89,1.0,0,0,23.787736892700195
90,1.0,0,0,23.459672927856445
91,1.0,0,0,26.9162654876709
92,1.0,0,0,23.645877838134766
93,1.0,0,0,24.380207061767578
94,1.0,0,0,23.477554321289062
95,1.0,0,0,23.868799209594727
96,1.0,0,0,23.52142333984375
97,1.0,0,0,23.621559143066406
98,1.0,0,0,23.0865478515625
99,1.0,0,0,24.10602569580078
100,1.0,0,0,26.660680770874023
101,1.0,0,0,23.015260696411133
102,1.0,0,0,23.327112197875977
103,1.0,0,0,23.540258407592773
104,1.0,0,0,23.557662963867188
105,1.0,0,0,23.404359817504883
106,1.0,0,0,23.293733596801758
107,1.0,0,0,23.84161949157715
108,1.0,0,0,26.374101638793945
