Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,201.13754272460938
1,1.0,0,0,23.812055587768555
2,1.0,0,0,23.548364639282227
3,1.0,0,0,26.233196258544922
4,1.0,0,0,25.59518814086914
5,1.0,0,0,23.769378662109375
6,1.0,0,0,23.043394088745117
7,1.0,0,0,23.485660552978516
8,1.0,0,0,23.249387741088867
9,1.0,0,0,23.775815963745117
10,1.0,0,0,23.662328720092773
11,1.0,0,0,23.446083068847656
12,1.0,0,0,27.73904800415039
13,1.0,0,0,23.77772331237793
14,1.0,0,0,24.085521697998047
15,1.0,0,0,23.991823196411133
16,1.0,0,0,23.565292358398438
17,1.0,0,0,23.79441261291504
18,1.0,0,0,33.028364181518555
19,1.0,0,0,32.89508819580078
20,1.0,0,0,23.440122604370117
21,1.0,0,0,27.6944637298584
22,1.0,0,0,24.094343185424805
23,1.0,0,0,23.563623428344727
24,1.0,0,0,23.69856834411621
25,1.0,0,0,23.70762825012207
26,1.0,0,0,23.84042739868164
27,1.0,0,0,23.116111755371094
28,1.0,0,0,23.537158966064453
29,1.0,0,0,23.80061149597168
30,1.0,0,0,27.772188186645508
31,1.0,0,0,23.947477340698242
32,1.0,0,0,27.3592472076416
33,1.0,0,0,23.297786712646484
34,1.0,0,0,24.38211441040039
35,1.0,0,0,33.737897872924805
36,1.0,0,0,25.175809860229492
37,1.0,0,0,24.552583694458008
38,1.0,0,0,23.58102798461914
39,1.0,0,0,29.248952865600586
40,1.0,0,0,25.7415771484375
41,1.0,0,0,25.229692459106445
42,1.0,0,0,24.067163467407227
43,1.0,0,0,23.875951766967773
44,1.0,0,0,24.11198616027832
45,1.0,0,0,31.479358673095703
46,1.0,0,0,24.502992630004883
47,1.0,0,0,23.463726043701172
48,1.0,0,0,28.437376022338867
49,1.0,0,0,26.262998580932617
50,1.0,0,0,25.405406951904297
51,1.0,0,0,25.198698043823242
52,1.0,0,0,24.60026741027832
53,1.0,0,0,22.943735122680664
54,1.0,0,0,24.82318878173828
55,1.0,0,0,23.71525764465332
56,1.0,0,0,24.059057235717773
57,1.0,0,0,27.726411819458008
58,1.0,0,0,24.37305450439453
59,1.0,0,0,23.831844329833984
60,1.0,0,0,23.802757263183594
61,1.0,0,0,23.93937110900879
62,1.0,0,0,24.625778198242188
63,1.0,0,0,24.570465087890625
64,1.0,0,0,24.660825729370117
65,1.0,0,0,25.069236755371094
66,1.0,0,0,37.26029396057129
67,1.0,0,0,24.22499656677246
68,1.0,0,0,24.475574493408203
69,1.0,0,0,24.888992309570312
70,1.0,0,0,25.092601776123047
71,1.0,0,0,26.09992027282715
72,1.0,0,0,33.96940231323242
73,1.0,0,0,25.227785110473633
74,1.0,0,0,28.947114944458008
75,1.0,0,0,24.53136444091797
76,1.0,0,0,24.9176025390625
77,1.0,0,0,25.315284729003906
78,1.0,0,0,24.932861328125
79,1.0,0,0,25.321483612060547
80,1.0,0,0,25.0546932220459
81,1.0,0,0,24.58024024963379
82,1.0,0,0,23.969173431396484
83,1.0,0,0,28.502464294433594
84,1.0,0,0,24.922609329223633
85,1.0,0,0,24.42169189453125
86,1.0,0,0,24.501562118530273
87,1.0,0,0,23.408174514770508
88,1.0,0,0,24.99079704284668
89,1.0,0,0,24.501562118530273
90,1.0,0,0,25.088787078857422
91,1.0,0,0,25.766611099243164
92,1.0,0,0,28.73826026916504
93,1.0,0,0,25.937795639038086
94,1.0,0,0,25.453805923461914
95,1.0,0,0,25.028228759765625
96,1.0,0,0,25.036334991455078
97,1.0,0,0,24.57451820373535
98,1.0,0,0,24.366140365600586
99,1.0,0,0,24.6124267578125
100,1.0,0,0,23.931503295898438
101,1.0,0,0,27.99201011657715
102,1.0,0,0,24.782419204711914
103,1.0,0,0,25.084495544433594
104,1.0,0,0,23.824453353881836
105,1.0,0,0,23.53668212890625
106,1.0,0,0,24.403810501098633
107,1.0,0,0,25.324344635009766
108,1.0,0,0,24.822711944580078
109,1.0,0,0,25.089502334594727
110,1.0,0,0,28.96428108215332
111,1.0,0,0,25.830507278442383
112,1.0,0,0,25.457143783569336
113,1.0,0,0,25.284528732299805
114,1.0,0,0,24.92523193359375
115,1.0,0,0,24.148941040039062
116,1.0,0,0,23.178577423095703
117,1.0,0,0,23.940086364746094
118,1.0,0,0,24.413347244262695
119,1.0,0,0,28.878211975097656
120,1.0,0,0,23.617982864379883
121,1.0,0,0,23.92578125
122,1.0,0,0,24.088382720947266
123,1.0,0,0,24.7495174407959
124,1.0,0,0,24.93572235107422
125,1.0,0,0,25.25162696838379
126,1.0,0,0,24.86443519592285
127,1.0,0,0,25.1009464263916
128,1.0,0,0,28.81336212158203
129,1.0,0,0,31.71563148498535
130,1.0,0,0,28.35679054260254
131,1.0,0,0,25.20585060119629
132,1.0,0,0,24.65653419494629
133,1.0,0,0,24.272918701171875
134,1.0,0,0,23.882150650024414
135,1.0,0,0,23.059606552124023
136,1.0,0,0,28.298377990722656
137,1.0,0,0,24.041414260864258
138,1.0,0,0,23.644208908081055
139,1.0,0,0,24.528980255126953
140,1.0,0,0,23.95939826965332
141,1.0,0,0,23.969411849975586
142,1.0,0,0,24.391889572143555
143,1.0,0,0,24.98006820678711
144,1.0,0,0,25.59971809387207
145,1.0,0,0,29.066801071166992
146,1.0,0,0,24.632692337036133
147,1.0,0,0,24.87802505493164
148,1.0,0,0,24.676799774169922
149,1.0,0,0,24.534225463867188
150,1.0,0,0,25.6655216217041
151,1.0,0,0,29.11376953125
152,1.0,0,0,25.73227882385254
153,1.0,0,0,24.905920028686523
154,1.0,0,0,28.295516967773438
155,1.0,0,0,25.596141815185547
156,1.0,0,0,25.171279907226562
157,1.0,0,0,24.878501892089844
158,1.0,0,0,25.2227783203125
159,1.0,0,0,25.03800392150879
160,1.0,0,0,25.17080307006836
161,1.0,0,0,23.907899856567383
162,1.0,0,0,24.061203002929688
163,1.0,0,0,28.22113037109375
164,1.0,0,0,23.93198013305664
165,1.0,0,0,31.749963760375977
166,1.0,0,0,24.465560913085938
167,1.0,0,0,24.496078491210938
168,1.0,0,0,30.4868221282959
169,1.0,0,0,24.292469024658203
170,1.0,0,0,25.769710540771484
171,1.0,0,0,26.78847312927246
172,1.0,0,0,29.740095138549805
173,1.0,0,0,25.276660919189453
174,1.0,0,0,25.12073516845703
175,1.0,0,0,25.313615798950195
176,1.0,0,0,25.81167221069336
177,1.0,0,0,24.695396423339844
178,1.0,0,0,25.314807891845703
179,1.0,0,0,25.3908634185791
180,1.0,0,0,24.924755096435547
181,1.0,0,0,30.01117706298828
182,1.0,0,0,25.228023529052734
183,1.0,0,0,25.347471237182617
184,1.0,0,0,25.309324264526367
185,1.0,0,0,24.95574951171875
186,1.0,0,0,24.597644805908203
187,1.0,0,0,24.828195571899414
188,1.0,0,0,23.93317222595215
189,1.0,0,0,23.832082748413086
190,1.0,0,0,29.738903045654297
191,1.0,0,0,25.203704833984375
192,1.0,0,0,24.768352508544922
193,1.0,0,0,25.617599487304688
194,1.0,0,0,24.840593338012695
195,1.0,0,0,25.29001235961914
196,1.0,0,0,24.98030662536621
197,1.0,0,0,25.77042579650879
198,1.0,0,0,28.46050262451172
199,1.0,0,0,24.97720718383789
200,1.0,0,0,25.892019271850586
201,1.0,0,0,24.456262588500977
202,1.0,0,0,23.32329750061035
203,1.0,0,0,24.379253387451172
204,1.0,0,0,31.48341178894043
205,1.0,0,0,24.33323860168457
206,1.0,0,0,24.527311325073242
207,1.0,0,0,28.845548629760742
208,1.0,0,0,23.999929428100586
209,1.0,0,0,34.593820571899414
210,1.0,0,0,34.68465805053711
211,1.0,0,0,25.040388107299805
212,1.0,0,0,25.15554428100586
213,1.0,0,0,25.32196044921875
214,1.0,0,0,25.188922882080078
215,1.0,0,0,25.893688201904297
216,1.0,0,0,28.920412063598633
217,1.0,0,0,25.751829147338867
218,1.0,0,0,25.089502334594727
219,1.0,0,0,24.8870849609375
