Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,1,1,222.1236228942871
1,1.0,1,1,23.021936416625977
2,1.0,1,1,23.028135299682617
3,1.0,1,1,23.61297607421875
4,1.0,1,1,25.59971809387207
5,1.0,1,1,23.64373207092285
6,1.0,1,1,23.099899291992188
7,1.0,1,1,23.46014976501465
8,1.0,0,0,23.299694061279297
9,1.0,1,1,22.56155014038086
10,1.0,1,1,22.748708724975586
11,1.0,1,1,22.88222312927246
12,1.0,0,0,26.262521743774414
13,1.0,1,1,22.823572158813477
14,1.0,1,1,22.853612899780273
15,1.0,1,1,22.21822738647461
16,1.0,1,1,22.83334732055664
17,1.0,1,1,23.10776710510254
18,1.0,1,1,22.357940673828125
19,1.0,1,1,22.83310890197754
20,1.0,1,1,22.503137588500977
21,1.0,1,1,26.31378173828125
22,1.0,1,1,22.896289825439453
23,1.0,1,1,22.760629653930664
24,1.0,0,0,22.20463752746582
25,1.0,1,1,22.90797233581543
26,1.0,1,1,24.602174758911133
27,1.0,1,1,23.988723754882812
28,1.0,1,1,22.92013168334961
29,1.0,1,1,22.639989852905273
30,1.0,1,1,26.961326599121094
31,1.0,1,1,22.268295288085938
32,1.0,1,1,23.676633834838867
33,1.0,0,0,23.894071578979492
34,1.0,1,1,23.769378662109375
35,1.0,1,1,22.510051727294922
36,1.0,1,1,22.544384002685547
37,1.0,1,1,22.455692291259766
38,1.0,1,1,24.044036865234375
39,1.0,1,1,27.126073837280273
40,1.0,1,1,22.534847259521484
41,1.0,1,1,23.668527603149414
42,1.0,1,1,22.135019302368164
43,1.0,1,1,22.589921951293945
44,1.0,1,1,22.382259368896484
45,1.0,1,1,22.22919464111328
46,1.0,1,1,23.44369888305664
47,1.0,1,1,23.80990982055664
48,1.0,1,1,28.0306339263916
49,1.0,1,1,23.28801155090332
50,1.0,1,1,23.578882217407227
51,1.0,1,1,23.440837860107422
52,1.0,1,1,22.520065307617188
53,1.0,1,1,22.29142189025879
54,1.0,1,1,21.797657012939453
55,1.0,1,1,23.003339767456055
56,1.0,1,1,23.530960083007812
57,1.0,1,1,25.799274444580078
58,1.0,1,1,23.593664169311523
59,1.0,1,1,23.44202995300293
60,1.0,1,1,23.193836212158203
61,1.0,1,1,23.48160743713379
62,1.0,1,1,22.648334503173828
63,1.0,1,1,22.641897201538086
64,1.0,1,1,22.839784622192383
65,1.0,1,1,22.7963924407959
66,1.0,1,1,26.754140853881836
67,1.0,1,1,22.476673126220703
68,1.0,1,1,23.430824279785156
69,1.0,1,1,24.00660514831543
70,1.0,1,1,23.792266845703125
71,1.0,1,1,22.541046142578125
72,1.0,1,1,22.96280860900879
73,1.0,1,1,22.58157730102539
74,1.0,1,1,26.059865951538086
75,1.0,1,1,22.737979888916016
76,1.0,1,1,23.622989654541016
77,1.0,1,1,23.501157760620117
78,1.0,1,1,22.40300178527832
79,1.0,1,1,23.186922073364258
80,1.0,1,1,22.48978614807129
81,1.0,1,1,23.336410522460938
82,1.0,1,1,23.388147354125977
83,1.0,1,1,26.304244995117188
84,1.0,1,1,22.73726463317871
85,1.0,1,1,23.62990379333496
86,1.0,1,1,22.877216339111328
87,1.0,1,1,23.10919761657715
88,1.0,1,1,22.70221710205078
89,1.0,1,1,23.384571075439453
90,1.0,1,1,23.64039421081543
91,1.0,1,1,23.067712783813477
92,1.0,1,1,27.423858642578125
93,1.0,1,1,22.653818130493164
94,1.0,1,1,22.948026657104492
95,1.0,1,1,22.80282974243164
96,1.0,1,1,22.724151611328125
97,1.0,1,1,22.89724349975586
98,1.0,1,1,22.501230239868164
99,1.0,1,1,22.635221481323242
100,1.0,1,1,22.78923988342285
101,1.0,1,1,26.047468185424805
102,1.0,1,1,22.777318954467773
103,1.0,1,1,23.127079010009766
104,1.0,1,1,22.742748260498047
105,1.0,1,1,22.92180061340332
106,1.0,1,1,22.665739059448242
107,1.0,1,1,22.26424217224121
108,1.0,1,1,22.934913635253906
109,1.0,1,1,22.17388153076172
110,1.0,1,1,26.412010192871094
111,1.0,1,1,23.676156997680664
112,1.0,1,1,24.2156982421875
113,1.0,1,1,23.175954818725586
114,1.0,1,1,22.176742553710938
115,1.0,1,1,22.662639617919922
116,1.0,1,1,22.185087203979492
117,1.0,1,1,22.254228591918945
118,1.0,1,1,22.300004959106445
119,1.0,1,1,27.85944938659668
120,1.0,1,1,23.40531349182129
121,1.0,1,1,22.69268035888672
122,1.0,1,1,23.409128189086914
123,1.0,1,1,22.364377975463867
124,1.0,1,1,23.433923721313477
125,1.0,1,1,22.531747817993164
126,1.0,1,1,23.373126983642578
127,1.0,1,1,22.959232330322266
128,1.0,1,1,25.78139305114746
129,1.0,1,1,22.44424819946289
130,1.0,1,1,22.485733032226562
131,1.0,1,1,22.9184627532959
132,1.0,1,1,22.614240646362305
133,1.0,1,1,23.31709861755371
134,1.0,1,1,27.445316314697266
135,1.0,1,1,23.63133430480957
136,1.0,1,1,25.96426010131836
137,1.0,1,1,23.556232452392578
138,1.0,1,1,22.480010986328125
