Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,1,1,2517.35520362854
1,1.0,1,1,28.50627899169922
2,1.0,1,1,26.89075469970703
3,1.0,1,1,118.96228790283203
4,1.0,1,1,25.146007537841797
5,1.0,1,1,26.711463928222656
6,1.0,1,1,25.30217170715332
7,1.0,1,1,28.81312370300293
8,1.0,1,1,24.91021156311035
9,1.0,1,1,24.929523468017578
10,1.0,1,1,25.517940521240234
11,1.0,1,1,25.636911392211914
12,1.0,1,1,29.224157333374023
13,1.0,1,1,24.858951568603516
14,1.0,1,1,24.853944778442383
15,1.0,1,1,25.16031265258789
16,1.0,1,1,26.44801139831543
17,1.0,1,1,25.0701904296875
18,1.0,1,1,24.78790283203125
19,1.0,1,1,24.274110794067383
20,1.0,1,1,25.981664657592773
21,1.0,1,1,29.17623519897461
22,1.0,1,1,24.896621704101562
23,1.0,1,1,26.006221771240234
24,1.0,1,1,26.48329734802246
25,1.0,1,1,24.98340606689453
26,1.0,1,1,25.887727737426758
27,1.0,1,1,24.75762367248535
28,1.0,1,1,24.7955322265625
29,1.0,1,1,27.842044830322266
30,1.0,1,1,24.688720703125
31,1.0,1,1,24.927854537963867
32,1.0,1,1,26.30925178527832
33,1.0,1,1,25.299549102783203
34,1.0,1,1,24.706602096557617
35,1.0,1,1,25.586605072021484
36,1.0,1,1,24.320125579833984
37,1.0,1,1,24.569988250732422
38,1.0,1,1,28.406620025634766
39,1.0,1,1,25.62427520751953
40,1.0,1,1,27.064085006713867
41,1.0,1,1,25.168895721435547
42,1.0,1,1,24.67179298400879
43,1.0,1,1,24.541378021240234
44,1.0,1,1,24.95718002319336
45,1.0,1,1,24.43218231201172
46,1.0,1,1,24.692773818969727
47,1.0,1,1,28.89251708984375
48,1.0,1,1,26.639461517333984
49,1.0,1,1,24.881601333618164
50,1.0,1,1,24.75285530090332
51,1.0,1,1,24.64914321899414
52,1.0,1,1,24.899959564208984
53,1.0,1,1,24.93119239807129
54,1.0,1,1,24.72853660583496
55,1.0,1,1,25.304555892944336
56,1.0,1,1,31.804561614990234
57,1.0,1,1,25.776147842407227
58,1.0,1,1,25.147676467895508
59,1.0,1,1,26.01909637451172
60,1.0,1,1,24.72710609436035
61,1.0,1,1,24.531126022338867
62,1.0,1,1,26.088714599609375
63,1.0,1,1,25.746822357177734
64,1.0,1,1,26.42822265625
65,1.0,1,1,30.125141143798828
66,1.0,1,1,24.681568145751953
67,1.0,1,1,25.418519973754883
68,1.0,1,1,24.740219116210938
69,1.0,1,1,24.525165557861328
70,1.0,1,1,24.409770965576172
71,1.0,1,1,24.886131286621094
72,1.0,1,1,27.42767333984375
73,1.0,1,1,24.861574172973633
74,1.0,1,1,28.757333755493164
75,1.0,1,1,24.92237091064453
76,1.0,1,1,24.581432342529297
77,1.0,1,1,24.74832534790039
78,1.0,1,1,24.81555938720703
79,1.0,1,1,25.35271644592285
80,1.0,1,1,24.51944351196289
81,1.0,1,1,27.036190032958984
82,1.0,1,1,24.79386329650879
83,1.0,1,1,28.879642486572266
84,1.0,1,1,24.824857711791992
85,1.0,1,1,25.275468826293945
86,1.0,1,1,25.132417678833008
87,1.0,1,1,25.092363357543945
88,1.0,1,1,24.721145629882812
89,1.0,1,1,24.780988693237305
90,1.0,1,1,27.43387222290039
91,1.0,1,1,29.078006744384766
92,1.0,1,1,24.501800537109375
93,1.0,1,1,25.59065818786621
94,1.0,1,1,24.625301361083984
95,1.0,1,1,24.86896514892578
96,1.0,1,1,25.59661865234375
97,1.0,1,1,25.899648666381836
98,1.0,1,1,26.52764320373535
99,1.0,1,1,25.501012802124023
100,1.0,1,1,28.815746307373047
101,1.0,1,1,25.461912155151367
102,1.0,1,1,24.529218673706055
103,1.0,1,1,24.93453025817871
104,1.0,1,1,25.55990219116211
105,1.0,1,1,25.46977996826172
106,1.0,1,1,26.25417709350586
107,1.0,1,1,25.747060775756836
108,1.0,1,1,24.921417236328125
109,1.0,1,1,29.076814651489258
110,1.0,1,1,26.223421096801758
111,1.0,1,1,25.29454231262207
112,1.0,1,1,24.58500862121582
113,1.0,1,1,25.75063705444336
114,1.0,1,1,25.61211585998535
115,1.0,1,1,24.67942237854004
116,1.0,1,1,24.8110294342041
117,1.0,1,1,25.393009185791016
118,1.0,1,1,28.644800186157227
119,1.0,1,1,24.893760681152344
120,1.0,1,1,24.94049072265625
121,1.0,1,1,24.940013885498047
122,1.0,1,1,27.803659439086914
123,1.0,1,1,24.56831932067871
124,1.0,1,1,24.68252182006836
125,1.0,1,1,25.089740753173828
126,1.0,1,1,24.85489845275879
127,1.0,1,1,28.923749923706055
128,1.0,1,1,25.18177032470703
129,1.0,1,1,24.465560913085938
130,1.0,1,1,24.813413619995117
131,1.0,1,1,24.888992309570312
132,1.0,1,1,24.555444717407227
133,1.0,1,1,25.130748748779297
134,1.0,1,1,26.303529739379883
135,1.0,1,1,24.773120880126953
136,1.0,1,1,29.314756393432617
137,1.0,1,1,25.30646324157715
138,1.0,1,1,24.348974227905273
139,1.0,1,1,25.0089168548584
140,1.0,1,1,25.354862213134766
141,1.0,1,1,24.832487106323242
142,1.0,1,1,25.19536018371582
143,1.0,1,1,26.249408721923828
144,1.0,1,1,25.191068649291992
145,1.0,1,1,28.626680374145508
146,1.0,1,1,24.780750274658203
147,1.0,1,1,24.738311767578125
148,1.0,1,1,25.386810302734375
149,1.0,1,1,24.669647216796875
150,1.0,1,1,24.966716766357422
151,1.0,1,1,26.90744400024414
152,1.0,1,1,24.59716796875
153,1.0,1,1,27.837514877319336
154,1.0,1,1,26.153087615966797
155,1.0,1,1,26.090621948242188
156,1.0,1,1,25.25162696838379
157,1.0,1,1,25.748014450073242
158,1.0,1,1,26.655197143554688
159,1.0,1,1,26.75175666809082
160,1.0,1,1,24.710416793823242
161,1.0,1,1,25.224924087524414
162,1.0,1,1,28.648853302001953
163,1.0,1,1,25.071382522583008
164,1.0,1,1,25.199174880981445
165,1.0,1,1,25.676488876342773
166,1.0,1,1,25.455236434936523
167,1.0,1,1,26.469707489013672
168,1.0,1,1,25.557756423950195
169,1.0,1,1,25.14052391052246
170,1.0,1,1,25.21347999572754
171,1.0,1,1,29.31809425354004
172,1.0,1,1,25.868654251098633
173,1.0,1,1,26.19338035583496
174,1.0,1,1,26.14450454711914
175,1.0,1,1,26.709794998168945
176,1.0,1,1,24.81555938720703
