Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,1,1,386.25240325927734
1,1.0,1,1,28.483152389526367
2,1.0,1,1,26.406049728393555
3,1.0,1,1,26.506423950195312
4,1.0,1,1,27.231454849243164
5,1.0,1,1,30.08103370666504
6,1.0,1,1,27.20189094543457
7,1.0,1,1,28.415918350219727
8,1.0,1,1,28.859615325927734
9,1.0,1,1,27.374982833862305
10,1.0,1,1,26.759624481201172
11,1.0,1,1,26.85689926147461
12,1.0,1,1,27.48417854309082
13,1.0,1,1,26.44968032836914
14,1.0,1,1,31.1276912689209
15,1.0,1,1,27.012109756469727
16,1.0,1,1,27.864694595336914
17,1.0,1,1,26.828765869140625
18,1.0,1,1,25.33268928527832
19,1.0,1,1,26.140451431274414
20,1.0,1,1,27.03857421875
21,1.0,1,1,26.845932006835938
22,1.0,1,1,26.508808135986328
23,1.0,1,1,30.87639808654785
24,1.0,1,1,26.944875717163086
25,1.0,1,1,27.09197998046875
26,1.0,1,1,27.786970138549805
27,1.0,1,1,27.120590209960938
28,1.0,1,1,26.697397232055664
29,1.0,1,1,27.558326721191406
30,1.0,1,1,27.252197265625
31,1.0,1,1,27.390003204345703
32,1.0,1,1,31.847715377807617
33,1.0,1,1,27.11629867553711
34,1.0,1,1,26.724576950073242
35,1.0,1,1,26.987075805664062
36,1.0,1,1,25.84099769592285
37,1.0,1,1,34.148454666137695
38,1.0,1,1,26.187896728515625
39,1.0,1,1,26.26347541809082
40,1.0,1,1,25.5587100982666
41,1.0,1,1,30.254125595092773
42,1.0,1,1,33.02717208862305
43,1.0,1,1,27.047395706176758
44,1.0,1,1,31.41641616821289
45,1.0,1,1,27.193546295166016
46,1.0,1,1,26.653766632080078
47,1.0,1,1,26.60846710205078
48,1.0,1,1,36.56721115112305
49,1.0,1,1,39.6878719329834
50,1.0,1,1,26.796579360961914
51,1.0,1,1,27.47058868408203
52,1.0,1,1,27.62460708618164
53,1.0,1,1,25.87890625
54,1.0,1,1,25.833606719970703
55,1.0,1,1,26.216506958007812
56,1.0,1,1,25.793790817260742
57,1.0,1,1,25.199174880981445
58,1.0,1,1,30.502796173095703
59,1.0,1,1,26.853084564208984
60,1.0,1,1,27.002811431884766
61,1.0,1,1,27.922391891479492
62,1.0,1,1,27.53734588623047
63,1.0,1,1,27.482986450195312
64,1.0,1,1,27.243852615356445
65,1.0,1,1,27.532577514648438
66,1.0,1,1,26.863813400268555
67,1.0,1,1,31.524658203125
68,1.0,1,1,34.15560722351074
69,1.0,1,1,36.65590286254883
70,1.0,1,1,34.27910804748535
71,1.0,1,1,25.770187377929688
72,1.0,1,1,26.391983032226562
73,1.0,1,1,26.49664878845215
74,1.0,1,1,26.05438232421875
75,1.0,1,1,26.535987854003906
76,1.0,1,1,30.704259872436523
77,1.0,1,1,27.323007583618164
78,1.0,1,1,27.059555053710938
79,1.0,1,1,30.698537826538086
80,1.0,1,1,27.144193649291992
81,1.0,1,1,26.84187889099121
82,1.0,1,1,36.80539131164551
83,1.0,1,1,27.44770050048828
84,1.0,1,1,27.23073959350586
85,1.0,1,1,30.197620391845703
86,1.0,1,1,26.22246742248535
87,1.0,1,1,26.151418685913086
88,1.0,1,1,27.03571319580078
89,1.0,1,1,25.443315505981445
90,1.0,1,1,25.377273559570312
91,1.0,1,1,25.233983993530273
92,1.0,1,1,26.37958526611328
93,1.0,1,1,26.6268253326416
94,1.0,1,1,31.139612197875977
95,1.0,1,1,27.385473251342773
96,1.0,1,1,26.853561401367188
97,1.0,1,1,27.963638305664062
98,1.0,1,1,26.706695556640625
99,1.0,1,1,26.993513107299805
100,1.0,1,1,26.452064514160156
101,1.0,1,1,27.085304260253906
102,1.0,1,1,26.54886245727539
103,1.0,1,1,30.702829360961914
104,1.0,1,1,26.79896354675293
105,1.0,1,1,26.610851287841797
106,1.0,1,1,28.037309646606445
107,1.0,1,1,26.9622802734375
108,1.0,1,1,27.067184448242188
109,1.0,1,1,27.0230770111084
110,1.0,1,1,26.529550552368164
111,1.0,1,1,30.041217803955078
112,1.0,1,1,26.851654052734375
113,1.0,1,1,26.811599731445312
114,1.0,1,1,26.37624740600586
115,1.0,1,1,29.09708023071289
116,1.0,1,1,27.210474014282227
117,1.0,1,1,26.571035385131836
118,1.0,1,1,30.071496963500977
119,1.0,1,1,34.642696380615234
120,1.0,1,1,31.53848648071289
121,1.0,1,1,26.973247528076172
122,1.0,1,1,27.544260025024414
123,1.0,1,1,28.013944625854492
124,1.0,1,1,26.74555778503418
125,1.0,1,1,26.965856552124023
126,1.0,1,1,26.73649787902832
127,1.0,1,1,27.76336669921875
128,1.0,1,1,35.980224609375
129,1.0,1,1,39.731502532958984
130,1.0,1,1,26.813030242919922
131,1.0,1,1,27.286767959594727
132,1.0,1,1,27.986526489257812
133,1.0,1,1,33.94198417663574
134,1.0,1,1,27.05550193786621
135,1.0,1,1,26.96371078491211
136,1.0,1,1,26.750564575195312
137,1.0,1,1,27.09221839904785
138,1.0,1,1,30.738115310668945
139,1.0,1,1,28.123140335083008
140,1.0,1,1,27.170419692993164
141,1.0,1,1,27.737855911254883
142,1.0,1,1,26.890039443969727
143,1.0,1,1,26.871442794799805
144,1.0,1,1,26.9010066986084
145,1.0,1,1,27.272939682006836
146,1.0,1,1,26.76868438720703
147,1.0,1,1,30.9140682220459
148,1.0,1,1,26.499509811401367
149,1.0,1,1,25.70509910583496
150,1.0,1,1,26.18718147277832
151,1.0,1,1,26.80230140686035
152,1.0,1,1,25.939226150512695
153,1.0,1,1,26.566267013549805
154,1.0,1,1,26.409149169921875
155,1.0,1,1,26.730775833129883
156,1.0,1,1,31.62693977355957
157,1.0,1,1,27.050256729125977
158,1.0,1,1,33.310651779174805
159,1.0,1,1,27.492046356201172
160,1.0,1,1,27.24742889404297
161,1.0,1,1,26.999950408935547
162,1.0,1,1,27.492284774780273
163,1.0,1,1,27.353286743164062
164,1.0,1,1,26.752710342407227
165,1.0,1,1,31.160831451416016
166,1.0,1,1,26.778221130371094
167,1.0,1,1,27.324199676513672
168,1.0,1,1,27.771949768066406
169,1.0,1,1,26.67713165283203
170,1.0,1,1,25.670289993286133
171,1.0,1,1,26.57008171081543
172,1.0,1,1,26.451826095581055
173,1.0,1,1,30.88521957397461
174,1.0,1,1,26.480913162231445
175,1.0,1,1,26.843786239624023
176,1.0,1,1,26.952743530273438
177,1.0,1,1,27.349472045898438
178,1.0,1,1,27.373552322387695
179,1.0,1,1,28.065204620361328
180,1.0,1,1,26.18885040283203
181,1.0,1,1,27.469635009765625
182,1.0,1,1,31.597614288330078
183,1.0,1,1,27.729511260986328
184,1.0,1,1,27.701377868652344
185,1.0,1,1,27.662277221679688
186,1.0,1,1,28.07474136352539
187,1.0,1,1,27.70400047302246
188,1.0,1,1,36.38863563537598
189,1.0,1,1,27.762889862060547
190,1.0,1,1,27.4198055267334
191,1.0,1,1,31.535863876342773
192,1.0,1,1,25.751352310180664
193,1.0,1,1,34.98268127441406
194,1.0,1,1,25.49147605895996
195,1.0,1,1,26.53050422668457
196,1.0,1,1,26.865005493164062
197,1.0,1,1,25.885343551635742
198,1.0,1,1,26.62062644958496
199,1.0,1,1,26.288509368896484
200,1.0,1,1,30.62295913696289
201,1.0,1,1,34.1341495513916
202,1.0,1,1,27.128219604492188
203,1.0,1,1,26.739120483398438
204,1.0,1,1,27.753591537475586
205,1.0,1,1,27.507305145263672
206,1.0,1,1,27.008771896362305
207,1.0,1,1,28.079986572265625
208,1.0,1,1,27.13489532470703
209,1.0,1,1,30.778884887695312
210,1.0,1,1,27.3282527923584
211,1.0,1,1,27.57549285888672
212,1.0,1,1,26.894569396972656
