Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,0.0,0,1,193.38679313659668
1,0.0,0,1,25.505542755126953
2,0.0,0,1,24.92380142211914
3,0.0,0,1,25.23636817932129
4,0.0,0,1,25.56633949279785
5,0.0,0,1,25.387287139892578
6,0.0,0,1,24.0628719329834
7,0.0,0,1,24.054527282714844
8,0.0,0,1,23.397445678710938
9,0.0,0,1,23.659706115722656
10,0.0,0,1,27.090072631835938
11,0.0,0,1,24.01566505432129
12,0.0,0,1,23.512840270996094
13,0.0,0,1,23.68450164794922
14,0.0,0,1,23.723602294921875
15,0.0,0,1,23.5748291015625
16,0.0,0,1,23.79608154296875
17,0.0,0,1,32.9437255859375
18,0.0,0,1,33.5385799407959
19,0.0,0,1,27.02808380126953
20,0.0,0,1,23.932933807373047
21,0.0,0,1,23.51856231689453
22,0.0,0,1,23.595571517944336
23,0.0,0,1,23.783445358276367
24,0.0,0,1,23.404836654663086
25,0.0,0,1,24.593591690063477
26,0.0,0,1,32.5620174407959
27,0.0,0,1,26.770830154418945
28,0.0,0,1,24.20330047607422
29,0.0,0,1,23.245573043823242
30,0.0,0,1,24.402379989624023
31,0.0,0,1,32.93967247009277
32,0.0,0,1,25.960445404052734
33,0.0,0,1,23.609638214111328
34,0.0,0,1,23.734331130981445
35,0.0,0,1,23.69976043701172
36,0.0,0,1,27.7097225189209
37,0.0,0,1,23.593425750732422
38,0.0,0,1,23.68307113647461
39,0.0,0,1,23.47111701965332
40,0.0,0,1,24.01590347290039
41,0.0,0,1,23.5595703125
42,0.0,0,1,23.274660110473633
43,0.0,0,1,23.461103439331055
44,0.0,0,1,23.654460906982422
45,0.0,0,1,27.966022491455078
46,0.0,0,1,24.28460121154785
47,0.0,0,1,24.21092987060547
48,0.0,0,1,23.98395538330078
49,0.0,0,1,23.683547973632812
50,0.0,0,1,25.197267532348633
51,0.0,0,1,24.988174438476562
52,0.0,0,1,24.01113510131836
53,0.0,0,1,23.749351501464844
54,0.0,0,1,28.370141983032227
55,0.0,0,1,25.54464340209961
56,0.0,0,1,25.028467178344727
57,0.0,0,1,24.36542510986328
58,0.0,0,1,24.222612380981445
59,0.0,0,1,23.60367774963379
60,0.0,0,1,23.75507354736328
61,0.0,0,1,24.106740951538086
62,0.0,0,1,23.910999298095703
63,0.0,0,1,27.62746810913086
64,0.0,0,1,24.153947830200195
65,0.0,0,1,22.486448287963867
66,0.0,0,1,25.095701217651367
67,0.0,0,1,26.44038200378418
68,0.0,0,1,25.052785873413086
69,0.0,0,1,24.472713470458984
70,0.0,0,1,24.405717849731445
71,0.0,0,1,24.020910263061523
72,0.0,0,1,28.15556526184082
73,0.0,0,1,23.951053619384766
74,0.0,0,1,24.002790451049805
75,0.0,0,1,23.68927001953125
76,0.0,0,1,23.814916610717773
77,0.0,0,1,23.555755615234375
78,0.0,0,1,24.564743041992188
79,0.0,0,1,24.419546127319336
80,0.0,0,1,25.061368942260742
81,0.0,0,1,28.83315086364746
82,0.0,0,1,25.481700897216797
83,0.0,0,1,31.969070434570312
84,0.0,0,1,25.011539459228516
85,0.0,0,1,24.477720260620117
86,0.0,0,1,29.253244400024414
87,0.0,0,1,26.048898696899414
88,0.0,0,1,24.899005889892578
89,0.0,0,1,27.858495712280273
90,0.0,0,1,24.136066436767578
91,0.0,0,1,23.902416229248047
92,0.0,0,1,23.26345443725586
93,0.0,0,1,32.18388557434082
94,0.0,0,1,24.1849422454834
95,0.0,0,1,23.969411849975586
96,0.0,0,1,24.31321144104004
97,0.0,0,1,24.293184280395508
98,0.0,0,1,28.273820877075195
99,0.0,0,1,24.59573745727539
100,0.0,0,1,25.00128746032715
101,0.0,0,1,25.45905113220215
102,0.0,0,1,24.385452270507812
103,0.0,0,1,24.872541427612305
104,0.0,0,1,24.598121643066406
105,0.0,0,1,24.654865264892578
106,0.0,0,1,24.99079704284668
107,0.0,0,1,28.737545013427734
108,0.0,0,1,26.257753372192383
109,0.0,0,1,25.673389434814453
110,0.0,0,1,25.010108947753906
111,0.0,0,1,25.17843246459961
112,0.0,0,1,25.18177032470703
113,0.0,0,1,24.619102478027344
114,0.0,0,1,34.1801643371582
115,0.0,0,1,25.14362335205078
116,0.0,0,1,28.88202667236328
117,0.0,0,1,25.78902244567871
118,0.0,0,1,24.938583374023438
119,0.0,0,1,24.847030639648438
120,0.0,0,1,24.396657943725586
121,0.0,0,1,24.581193923950195
122,0.0,0,1,24.898767471313477
123,0.0,0,1,24.55592155456543
124,0.0,0,1,23.149967193603516
125,0.0,0,1,32.81688690185547
126,0.0,0,1,25.799274444580078
127,0.0,0,1,23.836612701416016
128,0.0,0,1,22.704362869262695
129,0.0,0,1,24.088382720947266
130,0.0,0,1,24.36685562133789
131,0.0,0,1,24.127721786499023
132,0.0,0,1,33.014535903930664
133,0.0,0,1,23.823261260986328
134,0.0,0,1,29.986858367919922
135,0.0,0,1,31.324148178100586
136,0.0,0,1,24.74808692932129
137,0.0,0,1,24.578094482421875
138,0.0,0,1,24.37567710876465
139,0.0,0,1,24.716615676879883
140,0.0,0,1,26.38721466064453
141,0.0,0,1,24.8873233795166
142,0.0,0,1,24.802684783935547
143,0.0,0,1,28.25188636779785
144,0.0,0,1,24.532794952392578
145,0.0,0,1,25.737524032592773
146,0.0,0,1,25.11453628540039
147,0.0,0,1,24.879932403564453
148,0.0,0,1,25.069475173950195
149,0.0,0,1,24.689912796020508
150,0.0,0,1,24.83963966369629
151,0.0,0,1,28.440475463867188
152,0.0,0,1,24.832963943481445
153,0.0,0,1,25.122880935668945
154,0.0,0,1,25.93684196472168
155,0.0,0,1,24.584531784057617
156,0.0,0,1,24.637222290039062
157,0.0,0,1,25.095701217651367
158,0.0,0,1,24.971723556518555
159,0.0,0,1,24.71923828125
160,0.0,0,1,28.495311737060547
161,0.0,0,1,25.144338607788086
162,0.0,0,1,25.28977394104004
163,0.0,0,1,24.11675453186035
164,0.0,0,1,23.930072784423828
165,0.0,0,1,24.41573143005371
166,0.0,0,1,24.393320083618164
167,0.0,0,1,23.732662200927734
168,0.0,0,1,24.61695671081543
169,0.0,0,1,28.21493148803711
170,0.0,0,1,23.67544174194336
171,0.0,0,1,23.892641067504883
172,0.0,0,1,24.50847625732422
173,0.0,0,1,25.305747985839844
174,0.0,0,1,24.909019470214844
175,0.0,0,1,24.80602264404297
176,0.0,0,1,24.982929229736328
177,0.0,0,1,25.054216384887695
178,0.0,0,1,29.347896575927734
179,0.0,0,1,25.118112564086914
180,0.0,0,1,25.355100631713867
181,0.0,0,1,25.41184425354004
182,0.0,0,1,25.365114212036133
183,0.0,0,1,25.049686431884766
184,0.0,0,1,25.16937255859375
185,0.0,0,1,25.147676467895508
186,0.0,0,1,24.34849739074707
187,0.0,0,1,28.375625610351562
188,0.0,0,1,25.243043899536133
189,0.0,0,1,25.254249572753906
190,0.0,0,1,25.32052993774414
191,0.0,0,1,23.51546287536621
192,0.0,0,1,23.500680923461914
193,0.0,0,1,24.166107177734375
194,0.0,0,1,24.318218231201172
195,0.0,0,1,24.065017700195312
196,0.0,0,1,28.24854850769043
197,0.0,0,1,24.240493774414062
198,0.0,0,1,23.492097854614258
199,0.0,0,1,24.04952049255371
200,0.0,0,1,32.65070915222168
201,0.0,0,1,25.105714797973633
202,0.0,0,1,25.12359619140625
203,0.0,0,1,27.11343765258789
204,0.0,0,1,25.133609771728516
205,0.0,0,1,35.21871566772461
206,0.0,0,1,25.334835052490234
207,0.0,0,1,24.636268615722656
208,0.0,0,1,24.831533432006836
209,0.0,0,1,25.255680084228516
210,0.0,0,1,25.057077407836914
211,0.0,0,1,24.70993995666504
212,0.0,0,1,24.538516998291016
213,0.0,0,1,29.05416488647461
214,0.0,0,1,25.77042579650879
215,0.0,0,1,25.342941284179688
216,0.0,0,1,25.74634552001953
217,0.0,0,1,25.182723999023438
218,0.0,0,1,24.553298950195312
