Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,214.58697319030762
1,1.0,0,0,40.66967964172363
2,1.0,0,0,27.971267700195312
3,1.0,0,0,34.90805625915527
4,1.0,0,0,29.48737144470215
5,1.0,0,0,27.122020721435547
6,1.0,0,0,26.974201202392578
7,1.0,0,0,26.775598526000977
8,1.0,0,0,26.261568069458008
9,1.0,0,0,26.836633682250977
10,1.0,0,0,28.235673904418945
11,1.0,0,0,42.35267639160156
12,1.0,0,0,26.50165557861328
13,1.0,0,0,30.941247940063477
14,1.0,0,0,26.669025421142578
15,1.0,0,0,26.183366775512695
16,1.0,0,0,25.92778205871582
17,1.0,0,0,26.40819549560547
18,1.0,0,0,40.25006294250488
19,1.0,0,0,26.43609046936035
20,1.0,0,0,25.92301368713379
21,1.0,0,0,25.7108211517334
22,1.0,0,0,30.307292938232422
23,1.0,0,0,25.887250900268555
24,1.0,0,0,26.814699172973633
25,1.0,0,0,26.5810489654541
26,1.0,0,0,27.13298797607422
27,1.0,0,0,40.29226303100586
28,1.0,0,0,38.77067565917969
29,1.0,0,0,40.02213478088379
30,1.0,0,0,39.080142974853516
31,1.0,0,0,41.348934173583984
32,1.0,0,0,41.38469696044922
33,1.0,0,0,39.92462158203125
34,1.0,0,0,38.20490837097168
35,1.0,0,0,26.02410316467285
36,1.0,0,0,28.20277214050293
37,1.0,0,0,28.118133544921875
38,1.0,0,0,27.814626693725586
39,1.0,0,0,32.18650817871094
40,1.0,0,0,31.038284301757812
41,1.0,0,0,26.689767837524414
42,1.0,0,0,39.7191047668457
43,1.0,0,0,39.2003059387207
44,1.0,0,0,37.71352767944336
45,1.0,0,0,26.612043380737305
46,1.0,0,0,39.99161720275879
47,1.0,0,0,27.291536331176758
48,1.0,0,0,27.666330337524414
49,1.0,0,0,33.66804122924805
50,1.0,0,0,37.604331970214844
51,1.0,0,0,41.09382629394531
52,1.0,0,0,26.64017677307129
53,1.0,0,0,26.8552303314209
54,1.0,0,0,31.63599967956543
55,1.0,0,0,28.113603591918945
56,1.0,0,0,28.55825424194336
57,1.0,0,0,31.013011932373047
58,1.0,0,0,28.113842010498047
59,1.0,0,0,28.20587158203125
60,1.0,0,0,28.62262725830078
61,1.0,0,0,27.634620666503906
62,1.0,0,0,25.855541229248047
63,1.0,0,0,37.648677825927734
64,1.0,0,0,27.8317928314209
65,1.0,0,0,28.973817825317383
66,1.0,0,0,32.540082931518555
67,1.0,0,0,38.042306900024414
68,1.0,0,0,31.99148178100586
69,1.0,0,0,28.951644897460938
70,1.0,0,0,28.38611602783203
71,1.0,0,0,28.7935733795166
72,1.0,0,0,27.682065963745117
73,1.0,0,0,27.243375778198242
74,1.0,0,0,26.180028915405273
75,1.0,0,0,46.47564888000488
76,1.0,0,0,29.506921768188477
77,1.0,0,0,37.0941162109375
78,1.0,0,0,35.909414291381836
79,1.0,0,0,27.15611457824707
80,1.0,0,0,28.32770347595215
81,1.0,0,0,39.801597595214844
82,1.0,0,0,27.637481689453125
83,1.0,0,0,27.956008911132812
84,1.0,0,0,44.1131591796875
85,1.0,0,0,26.98373794555664
86,1.0,0,0,37.016868591308594
87,1.0,0,0,28.35536003112793
88,1.0,0,0,29.013395309448242
89,1.0,0,0,26.804685592651367
90,1.0,0,0,36.8654727935791
91,1.0,0,0,27.170419692993164
92,1.0,0,0,28.32317352294922
93,1.0,0,0,33.4014892578125
94,1.0,0,0,28.612136840820312
95,1.0,0,0,27.599811553955078
96,1.0,0,0,29.705047607421875
97,1.0,0,0,27.600526809692383
98,1.0,0,0,37.95886039733887
99,1.0,0,0,27.6186466217041
100,1.0,0,0,29.362201690673828
101,1.0,0,0,28.03802490234375
102,1.0,0,0,34.386396408081055
103,1.0,0,0,29.48474884033203
104,1.0,0,0,29.16264533996582
105,1.0,0,0,27.344226837158203
106,1.0,0,0,31.424760818481445
107,1.0,0,0,27.825117111206055
108,1.0,0,0,27.350664138793945
109,1.0,0,0,26.172876358032227
110,1.0,0,0,27.057647705078125
111,1.0,0,0,32.80186653137207
112,1.0,0,0,28.17702293395996
113,1.0,0,0,37.83011436462402
114,1.0,0,0,32.58490562438965
115,1.0,0,0,28.110504150390625
116,1.0,0,0,27.65059471130371
117,1.0,0,0,28.406620025634766
118,1.0,0,0,27.829408645629883
119,1.0,0,0,30.801057815551758
120,1.0,0,0,28.850555419921875
121,1.0,0,0,28.487682342529297
122,1.0,0,0,36.26894950866699
123,1.0,0,0,37.853240966796875
124,1.0,0,0,33.660173416137695
125,1.0,0,0,27.62889862060547
126,1.0,0,0,28.081655502319336
127,1.0,0,0,27.129650115966797
128,1.0,0,0,32.32455253601074
129,1.0,0,0,27.399063110351562
130,1.0,0,0,27.134418487548828
131,1.0,0,0,37.04214096069336
132,1.0,0,0,37.18376159667969
133,1.0,0,0,28.50484848022461
134,1.0,0,0,28.0001163482666
135,1.0,0,0,28.36465835571289
136,1.0,0,0,30.150651931762695
137,1.0,0,0,40.09675979614258
138,1.0,0,0,29.04653549194336
139,1.0,0,0,27.652740478515625
140,1.0,0,0,44.14725303649902
141,1.0,0,0,44.542551040649414
142,1.0,0,0,43.622493743896484
143,1.0,0,0,42.49405860900879
144,1.0,0,0,28.78546714782715
145,1.0,0,0,41.14341735839844
146,1.0,0,0,33.94460678100586
147,1.0,0,0,29.5865535736084
148,1.0,0,0,30.376195907592773
149,1.0,0,0,29.035568237304688
150,1.0,0,0,28.49102020263672
151,1.0,0,0,27.4507999420166
152,1.0,0,0,42.91486740112305
153,1.0,0,0,43.025970458984375
154,1.0,0,0,42.16957092285156
155,1.0,0,0,35.053253173828125
156,1.0,0,0,38.07997703552246
157,1.0,0,0,37.54067420959473
158,1.0,0,0,40.982961654663086
159,1.0,0,0,28.49745750427246
160,1.0,0,0,28.743743896484375
161,1.0,0,0,26.93939208984375
162,1.0,0,0,30.368328094482422
163,1.0,0,0,27.91309356689453
164,1.0,0,0,32.578468322753906
165,1.0,0,0,27.28581428527832
166,1.0,0,0,38.342952728271484
167,1.0,0,0,27.46105194091797
168,1.0,0,0,27.069568634033203
169,1.0,0,0,26.382923126220703
170,1.0,0,0,27.56667137145996
171,1.0,0,0,27.396202087402344
172,1.0,0,0,40.82489013671875
173,1.0,0,0,46.59891128540039
174,1.0,0,0,28.41496467590332
175,1.0,0,0,28.505802154541016
176,1.0,0,0,41.266679763793945
177,1.0,0,0,39.97921943664551
178,1.0,0,0,40.26603698730469
179,1.0,0,0,28.388261795043945
180,1.0,0,0,27.73594856262207
181,1.0,0,0,31.673908233642578
182,1.0,0,0,41.98026657104492
183,1.0,0,0,29.882431030273438
184,1.0,0,0,28.554677963256836
185,0.0,0,1,28.221845626831055
186,0.0,0,1,29.58059310913086
187,0.0,0,1,27.213573455810547
188,0.0,0,1,26.755094528198242
189,0.0,0,1,27.807235717773438
190,0.0,0,1,33.13589096069336
191,0.0,0,1,28.847694396972656
192,0.0,0,1,28.887510299682617
193,0.0,0,1,29.24513816833496
194,0.0,0,1,28.106212615966797
195,0.0,0,1,26.67689323425293
196,0.0,0,1,27.71449089050293
