Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,417.7212715148926
1,1.0,0,0,30.939340591430664
2,1.0,0,0,31.567811965942383
3,1.0,0,0,37.5673770904541
4,1.0,0,0,31.162023544311523
5,1.0,0,0,31.35967254638672
6,1.0,0,0,31.00752830505371
7,1.0,0,0,34.00087356567383
8,1.0,0,0,30.39693832397461
9,1.0,0,0,29.748916625976562
10,1.0,0,0,29.448747634887695
11,1.0,0,0,31.002044677734375
12,1.0,0,0,29.02817726135254
13,1.0,0,0,28.696775436401367
14,1.0,0,0,28.898954391479492
15,1.0,0,0,28.909921646118164
16,1.0,0,0,34.76715087890625
17,1.0,0,0,30.550479888916016
18,1.0,0,0,31.216859817504883
19,1.0,0,0,37.79768943786621
20,1.0,0,0,34.65414047241211
21,1.0,0,0,31.20112419128418
22,1.0,0,0,29.91485595703125
23,1.0,0,0,30.09486198425293
24,1.0,0,0,30.781984329223633
25,1.0,0,0,35.202980041503906
26,1.0,0,0,30.900239944458008
27,1.0,0,0,31.698942184448242
28,1.0,0,0,29.932498931884766
29,1.0,0,0,30.69925308227539
30,1.0,0,0,29.82306480407715
31,1.0,0,0,30.06720542907715
32,1.0,0,0,29.06012535095215
33,1.0,0,0,30.3800106048584
34,1.0,0,0,34.133195877075195
35,1.0,0,0,31.136512756347656
36,1.0,0,0,29.189586639404297
37,1.0,0,0,29.645442962646484
38,1.0,0,0,29.904842376708984
39,1.0,0,0,31.025171279907227
40,1.0,0,0,43.96867752075195
41,1.0,0,0,32.262325286865234
42,1.0,0,0,31.174182891845703
43,1.0,0,0,33.91909599304199
44,1.0,0,0,29.9837589263916
45,1.0,0,0,30.567169189453125
46,1.0,0,0,34.81316566467285
47,1.0,0,0,39.6425724029541
48,1.0,0,0,37.19663619995117
49,1.0,0,0,29.259204864501953
50,1.0,0,0,29.952049255371094
51,1.0,0,0,29.39581871032715
52,1.0,0,0,33.776044845581055
53,1.0,0,0,29.137372970581055
54,1.0,0,0,29.357433319091797
55,1.0,0,0,28.90157699584961
56,1.0,0,0,28.482675552368164
57,1.0,0,0,29.33812141418457
58,1.0,0,0,29.62493896484375
59,1.0,0,0,31.087636947631836
60,1.0,0,0,33.052682876586914
61,1.0,0,0,39.95656967163086
62,1.0,0,0,32.308340072631836
63,1.0,0,0,32.47666358947754
64,1.0,0,0,31.847238540649414
65,1.0,0,0,31.232357025146484
66,1.0,0,0,30.148744583129883
67,1.0,0,0,31.224966049194336
68,1.0,0,0,33.64229202270508
69,1.0,0,0,34.383535385131836
70,1.0,0,0,30.544519424438477
71,1.0,0,0,30.46894073486328
72,1.0,0,0,30.565500259399414
73,1.0,0,0,30.230045318603516
74,1.0,0,0,29.62779998779297
75,1.0,0,0,30.03382682800293
76,1.0,0,0,28.05185317993164
77,1.0,0,0,27.71925926208496
78,1.0,0,0,32.915353775024414
79,1.0,0,0,29.415130615234375
80,1.0,0,0,29.663562774658203
81,1.0,0,0,28.675079345703125
82,1.0,0,0,30.400991439819336
83,1.0,0,0,30.50518035888672
84,1.0,0,0,30.108928680419922
85,1.0,0,0,30.491352081298828
86,1.0,0,0,30.146121978759766
87,1.0,0,0,34.54017639160156
88,1.0,0,0,31.874656677246094
89,1.0,0,0,30.09033203125
90,1.0,0,0,29.427528381347656
91,1.0,0,0,30.239582061767578
92,1.0,0,0,29.136180877685547
93,1.0,0,0,29.299497604370117
94,1.0,0,0,29.571533203125
95,1.0,0,0,32.19199180603027
96,1.0,0,0,34.30008888244629
97,1.0,0,0,31.096696853637695
98,1.0,0,0,30.714035034179688
99,1.0,0,0,30.55286407470703
100,1.0,0,0,29.256105422973633
101,1.0,0,0,30.072927474975586
102,1.0,0,0,28.879642486572266
103,1.0,0,0,29.30426597595215
104,1.0,0,0,30.075550079345703
105,1.0,0,0,34.08312797546387
106,1.0,0,0,29.989242553710938
107,1.0,0,0,31.44383430480957
108,1.0,0,0,29.592275619506836
109,1.0,0,0,30.271053314208984
110,1.0,0,0,31.54611587524414
111,1.0,0,0,34.70802307128906
112,1.0,0,0,32.088279724121094
113,1.0,0,0,30.66730499267578
114,1.0,0,0,36.07749938964844
115,1.0,0,0,32.85670280456543
116,1.0,0,0,30.776500701904297
117,1.0,0,0,38.15197944641113
118,1.0,0,0,35.28332710266113
119,1.0,0,0,35.208702087402344
120,1.0,0,0,38.779258728027344
121,1.0,0,0,30.828475952148438
122,1.0,0,0,37.328481674194336
123,1.0,0,0,34.80815887451172
124,1.0,0,0,31.14175796508789
125,1.0,0,0,30.586957931518555
126,1.0,0,0,41.8248176574707
127,1.0,0,0,36.68546676635742
128,1.0,0,0,30.578136444091797
129,1.0,0,0,29.221534729003906
130,1.0,0,0,29.396533966064453
131,1.0,0,0,32.860517501831055
132,1.0,0,0,30.228853225708008
133,1.0,0,0,29.413700103759766
134,1.0,0,0,29.68621253967285
135,1.0,0,0,38.594961166381836
136,1.0,0,0,30.37238121032715
137,1.0,0,0,32.47189521789551
138,1.0,0,0,30.137062072753906
139,1.0,0,0,35.024166107177734
140,1.0,0,0,36.246299743652344
141,1.0,0,0,30.917882919311523
142,1.0,0,0,30.154705047607422
143,1.0,0,0,29.682397842407227
144,1.0,0,0,30.030250549316406
145,1.0,0,0,31.481504440307617
146,1.0,0,0,30.279874801635742
147,1.0,0,0,39.826393127441406
148,1.0,0,0,31.697511672973633
149,1.0,0,0,41.04495048522949
150,1.0,0,0,32.10592269897461
151,1.0,0,0,32.2873592376709
152,1.0,0,0,31.32176399230957
153,1.0,0,0,30.022382736206055
154,1.0,0,0,30.283689498901367
155,1.0,0,0,30.419349670410156
156,1.0,0,0,29.10304069519043
157,1.0,0,0,28.809070587158203
158,1.0,0,0,33.74457359313965
159,1.0,0,0,30.277252197265625
160,1.0,0,0,30.028581619262695
161,1.0,0,0,30.85637092590332
162,1.0,0,0,30.553817749023438
163,1.0,0,0,30.204296112060547
164,1.0,0,0,30.48396110534668
165,1.0,0,0,30.41839599609375
166,1.0,0,0,30.620813369750977
167,1.0,0,0,34.38711166381836
168,1.0,0,0,29.482364654541016
169,1.0,0,0,29.839277267456055
170,1.0,0,0,29.25252914428711
171,1.0,0,0,30.99679946899414
172,1.0,0,0,30.150890350341797
173,1.0,0,0,30.11465072631836
174,1.0,0,0,29.55484390258789
175,1.0,0,0,31.711816787719727
176,1.0,0,0,35.43496131896973
177,1.0,0,0,29.884815216064453
178,1.0,0,0,40.268898010253906
179,1.0,0,0,40.16709327697754
180,1.0,0,0,28.28502655029297
181,1.0,0,0,28.50818634033203
182,1.0,0,0,30.561208724975586
183,1.0,0,0,30.431747436523438
184,1.0,0,0,30.729055404663086
185,0.0,0,1,35.639047622680664
186,0.0,0,1,29.977083206176758
187,0.0,0,1,30.922889709472656
188,0.0,0,1,30.834197998046875
189,0.0,0,1,29.665231704711914
190,0.0,0,1,30.283451080322266
191,0.0,0,1,29.273033142089844
192,0.0,0,1,29.313325881958008
193,0.0,0,1,34.369468688964844
194,0.0,0,1,30.48563003540039
195,0.0,0,1,30.444622039794922
196,0.0,0,1,31.915903091430664
197,0.0,0,1,31.18133544921875
198,0.0,0,1,29.68001365661621
199,0.0,0,1,29.947280883789062
200,0.0,0,1,30.02166748046875
201,0.0,0,1,29.93035316467285
