Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,1,1,435.24885177612305
1,1.0,1,1,29.0679931640625
2,1.0,1,1,31.852245330810547
3,1.0,1,1,30.61962127685547
4,1.0,1,1,40.34829139709473
5,1.0,1,1,28.404951095581055
6,1.0,1,1,29.657840728759766
7,1.0,1,1,29.716014862060547
8,1.0,1,1,28.141498565673828
9,1.0,1,1,27.41527557373047
10,1.0,1,1,28.26857566833496
11,1.0,1,1,33.74052047729492
12,1.0,1,1,27.408838272094727
13,1.0,1,1,27.588367462158203
14,1.0,1,1,28.082847595214844
15,1.0,1,1,28.668642044067383
16,1.0,1,1,29.626131057739258
17,1.0,1,1,28.36918830871582
18,1.0,1,1,28.40280532836914
19,1.0,1,1,28.303146362304688
20,1.0,1,1,44.97718811035156
21,1.0,1,1,32.46808052062988
22,1.0,1,1,29.201030731201172
23,1.0,1,1,28.3966064453125
24,1.0,1,1,30.058860778808594
25,1.0,1,1,38.54203224182129
26,1.0,1,1,34.523963928222656
27,1.0,1,1,28.206586837768555
28,1.0,1,1,28.445959091186523
29,1.0,1,1,33.258676528930664
30,1.0,1,1,29.166221618652344
31,1.0,1,1,27.669191360473633
32,1.0,1,1,29.046297073364258
33,1.0,1,1,29.669761657714844
34,1.0,1,1,34.889936447143555
35,1.0,1,1,28.764963150024414
36,1.0,1,1,28.248071670532227
37,1.0,1,1,28.885364532470703
38,1.0,1,1,37.261247634887695
39,1.0,1,1,28.682708740234375
40,1.0,1,1,30.096769332885742
41,1.0,1,1,28.019428253173828
42,1.0,1,1,28.7778377532959
43,1.0,1,1,29.459714889526367
44,1.0,1,1,28.855562210083008
45,1.0,1,1,27.50992774963379
46,1.0,1,1,27.935266494750977
47,1.0,1,1,33.92767906188965
48,1.0,1,1,28.139829635620117
49,1.0,1,1,28.337717056274414
50,1.0,1,1,27.956485748291016
51,1.0,1,1,27.724504470825195
52,1.0,1,1,39.293527603149414
53,1.0,1,1,37.42671012878418
54,1.0,1,1,27.04906463623047
55,1.0,1,1,33.083200454711914
56,1.0,1,1,36.63444519042969
57,1.0,1,1,28.22136878967285
58,1.0,1,1,26.584625244140625
59,1.0,1,1,26.088714599609375
60,1.0,1,1,29.007673263549805
61,1.0,1,1,29.228925704956055
62,1.0,1,1,28.789043426513672
63,1.0,1,1,27.73427963256836
64,1.0,1,1,32.77015686035156
65,1.0,1,1,28.715848922729492
66,1.0,1,1,29.331445693969727
67,1.0,1,1,28.049945831298828
68,1.0,1,1,29.355287551879883
69,1.0,1,1,29.39605712890625
70,1.0,1,1,28.682947158813477
71,1.0,1,1,28.721332550048828
72,1.0,1,1,29.42681312561035
73,1.0,1,1,32.97114372253418
74,1.0,1,1,28.594493865966797
75,1.0,1,1,28.119802474975586
76,1.0,1,1,29.19602394104004
77,1.0,1,1,29.608488082885742
78,1.0,1,1,28.867244720458984
79,1.0,1,1,28.325319290161133
80,1.0,1,1,28.655290603637695
81,1.0,1,1,30.13014793395996
82,1.0,1,1,32.199859619140625
83,1.0,1,1,27.34994888305664
84,1.0,1,1,29.706716537475586
85,1.0,1,1,28.887510299682617
86,1.0,1,1,29.042720794677734
87,1.0,1,1,27.948617935180664
88,1.0,1,1,27.55904197692871
89,1.0,1,1,27.36210823059082
90,1.0,1,1,26.717662811279297
91,1.0,1,1,36.324501037597656
92,1.0,1,1,28.109073638916016
93,1.0,1,1,29.437541961669922
94,1.0,1,1,29.14595603942871
95,1.0,1,1,28.823375701904297
96,1.0,1,1,29.158592224121094
97,1.0,1,1,27.93431282043457
98,1.0,1,1,29.645919799804688
99,1.0,1,1,28.0001163482666
100,1.0,1,1,33.42461585998535
