Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,210.6003761291504
1,1.0,0,0,24.758338928222656
2,1.0,0,0,24.837493896484375
3,1.0,0,0,25.33268928527832
4,1.0,0,0,32.18579292297363
5,1.0,0,0,25.056123733520508
6,1.0,0,0,25.0091552734375
7,1.0,0,0,23.939847946166992
8,1.0,0,0,23.954391479492188
9,1.0,0,0,24.082183837890625
10,1.0,0,0,24.10125732421875
11,1.0,0,0,23.906707763671875
12,1.0,0,0,27.547597885131836
13,1.0,0,0,23.940324783325195
14,1.0,0,0,24.23858642578125
15,1.0,0,0,23.923397064208984
16,1.0,0,0,24.234294891357422
17,1.0,0,0,25.240659713745117
18,1.0,0,0,25.250673294067383
19,1.0,0,0,25.61044692993164
20,1.0,0,0,25.960206985473633
21,1.0,0,0,28.402090072631836
22,1.0,0,0,24.501562118530273
23,1.0,0,0,23.845672607421875
24,1.0,0,0,24.640321731567383
25,1.0,0,0,23.97894859313965
26,1.0,0,0,24.13654327392578
27,1.0,0,0,23.52595329284668
28,1.0,0,0,23.878097534179688
29,1.0,0,0,24.340152740478516
30,1.0,0,0,27.325868606567383
31,1.0,0,0,24.019956588745117
32,1.0,0,0,24.207592010498047
33,1.0,0,0,24.272918701171875
34,1.0,0,0,24.732589721679688
35,1.0,0,0,24.398088455200195
36,1.0,0,0,23.473739624023438
37,1.0,0,0,23.59175682067871
38,1.0,0,0,23.894309997558594
39,1.0,0,0,27.7554988861084
40,1.0,0,0,24.083375930786133
41,1.0,0,0,23.88453483581543
42,1.0,0,0,23.84781837463379
43,1.0,0,0,23.88143539428711
44,1.0,0,0,27.428627014160156
45,1.0,0,0,24.498462677001953
46,1.0,0,0,24.08313751220703
47,1.0,0,0,23.706912994384766
48,1.0,0,0,27.82917022705078
49,1.0,0,0,24.22189712524414
50,1.0,0,0,23.924827575683594
51,1.0,0,0,23.84495735168457
52,1.0,0,0,33.58864784240723
53,1.0,0,0,23.748159408569336
54,1.0,0,0,23.985624313354492
55,1.0,0,0,24.103164672851562
56,1.0,0,0,24.23834800720215
57,1.0,0,0,28.106689453125
58,1.0,0,0,24.37877655029297
59,1.0,0,0,23.80847930908203
60,1.0,0,0,23.87833595275879
61,1.0,0,0,24.24168586730957
62,1.0,0,0,24.046897888183594
63,1.0,0,0,23.938655853271484
64,1.0,0,0,24.78480339050293
65,1.0,0,0,24.388790130615234
66,1.0,0,0,27.0688533782959
67,1.0,0,0,23.94723892211914
68,1.0,0,0,28.161287307739258
69,1.0,0,0,25.500059127807617
70,1.0,0,0,24.49655532836914
71,1.0,0,0,23.714542388916016
72,1.0,0,0,25.557994842529297
73,1.0,0,0,25.63929557800293
74,1.0,0,0,29.648303985595703
75,1.0,0,0,24.500131607055664
76,1.0,0,0,24.242639541625977
77,1.0,0,0,24.199485778808594
78,1.0,0,0,24.0933895111084
79,1.0,0,0,24.532556533813477
80,1.0,0,0,23.779630661010742
81,1.0,0,0,24.503231048583984
82,1.0,0,0,26.599407196044922
83,1.0,0,0,29.576778411865234
84,1.0,0,0,30.15279769897461
85,1.0,0,0,23.924827575683594
86,1.0,0,0,23.609399795532227
87,1.0,0,0,24.30558204650879
88,1.0,0,0,24.495840072631836
89,1.0,0,0,24.022817611694336
90,1.0,0,0,24.398326873779297
91,1.0,0,0,24.032115936279297
92,1.0,0,0,27.69017219543457
93,1.0,0,0,24.227380752563477
94,1.0,0,0,24.585485458374023
95,1.0,0,0,24.306535720825195
96,1.0,0,0,27.441978454589844
97,1.0,0,0,24.31941032409668
98,1.0,0,0,24.068832397460938
99,1.0,0,0,24.950265884399414
100,1.0,0,0,25.793075561523438
101,1.0,0,0,29.598712921142578
102,1.0,0,0,26.02219581604004
103,1.0,0,0,25.554180145263672
104,1.0,0,0,26.683330535888672
105,1.0,0,0,26.488542556762695
106,1.0,0,0,25.584936141967773
107,1.0,0,0,25.60734748840332
108,1.0,0,0,26.180028915405273
109,1.0,0,0,25.206804275512695
110,1.0,0,0,29.356718063354492
111,1.0,0,0,26.096582412719727
112,1.0,0,0,25.87604522705078
113,1.0,0,0,25.920391082763672
114,1.0,0,0,23.886919021606445
115,1.0,0,0,23.964643478393555
116,1.0,0,0,24.160146713256836
117,1.0,0,0,25.30217170715332
118,1.0,0,0,25.712966918945312
119,1.0,0,0,29.27875518798828
120,1.0,0,0,25.884628295898438
121,1.0,0,0,26.11398696899414
122,1.0,0,0,25.85768699645996
123,1.0,0,0,27.933120727539062
124,1.0,0,0,25.59804916381836
125,1.0,0,0,25.957584381103516
126,1.0,0,0,26.050567626953125
127,1.0,0,0,25.776386260986328
128,1.0,0,0,29.346466064453125
129,1.0,0,0,26.14617347717285
130,1.0,0,0,25.67315101623535
131,1.0,0,0,25.1920223236084
132,1.0,0,0,25.213003158569336
133,1.0,0,0,24.543285369873047
134,1.0,0,0,24.182796478271484
135,1.0,0,0,34.32655334472656
136,1.0,0,0,28.831005096435547
137,1.0,0,0,23.453235626220703
138,1.0,0,0,24.871826171875
139,1.0,0,0,25.0396728515625
140,1.0,0,0,32.24611282348633
141,1.0,0,0,25.803327560424805
142,1.0,0,0,26.396512985229492
143,1.0,0,0,26.282310485839844
144,1.0,0,0,25.702953338623047
145,1.0,0,0,29.468536376953125
146,1.0,0,0,30.445575714111328
147,1.0,0,0,35.49623489379883
148,1.0,0,0,30.325651168823242
149,1.0,0,0,25.20751953125
150,1.0,0,0,26.13997459411621
151,1.0,0,0,24.920225143432617
152,1.0,0,0,23.616552352905273
153,1.0,0,0,24.28579330444336
154,1.0,0,0,29.260873794555664
155,1.0,0,0,23.842334747314453
156,1.0,0,0,24.83224868774414
157,1.0,0,0,25.371313095092773
158,1.0,0,0,25.507211685180664
159,1.0,0,0,26.1075496673584
160,1.0,0,0,25.50959587097168
