Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,1,1,414.6385192871094
1,1.0,1,1,28.509855270385742
2,1.0,1,1,26.58843994140625
3,1.0,1,1,26.490211486816406
4,1.0,1,1,28.392314910888672
5,1.0,1,1,27.56476402282715
6,1.0,1,1,26.851892471313477
7,1.0,1,1,29.017925262451172
8,1.0,1,1,37.876129150390625
9,1.0,1,1,42.619943618774414
10,1.0,1,1,28.379440307617188
11,1.0,1,1,27.745485305786133
12,1.0,1,1,27.816057205200195
13,1.0,1,1,26.845932006835938
14,1.0,1,1,27.581214904785156
15,1.0,1,1,27.69303321838379
16,1.0,1,1,27.92525291442871
17,1.0,1,1,25.5279541015625
18,1.0,1,1,32.06205368041992
19,1.0,1,1,26.873350143432617
20,1.0,1,1,27.424335479736328
21,1.0,1,1,28.939008712768555
22,1.0,1,1,27.32563018798828
23,1.0,1,1,26.819229125976562
24,1.0,1,1,27.026653289794922
25,1.0,1,1,27.69756317138672
26,1.0,1,1,27.125835418701172
27,1.0,1,1,31.418800354003906
28,1.0,1,1,27.373552322387695
29,1.0,1,1,26.799678802490234
30,1.0,1,1,25.902509689331055
31,1.0,1,1,26.137828826904297
32,1.0,1,1,26.800155639648438
33,1.0,1,1,26.05748176574707
34,1.0,1,1,26.462793350219727
35,1.0,1,1,30.588865280151367
36,1.0,1,1,32.044172286987305
37,1.0,1,1,34.379005432128906
38,1.0,1,1,27.193069458007812
39,1.0,1,1,27.860164642333984
40,1.0,1,1,27.538776397705078
41,1.0,1,1,27.185440063476562
42,1.0,1,1,27.71782875061035
43,1.0,1,1,28.317689895629883
44,1.0,1,1,30.890226364135742
45,1.0,1,1,27.300596237182617
46,1.0,1,1,27.272701263427734
47,1.0,1,1,26.423215866088867
48,1.0,1,1,26.5963077545166
49,1.0,1,1,26.00407600402832
50,1.0,1,1,27.399778366088867
51,1.0,1,1,26.793956756591797
52,1.0,1,1,27.20475196838379
53,1.0,1,1,31.98719024658203
54,1.0,1,1,28.066635131835938
55,1.0,1,1,27.791261672973633
56,1.0,1,1,27.565956115722656
57,1.0,1,1,28.881072998046875
58,1.0,1,1,28.209924697875977
59,1.0,1,1,27.944564819335938
60,1.0,1,1,27.61220932006836
61,1.0,1,1,28.278112411499023
62,1.0,1,1,30.24148941040039
63,1.0,1,1,26.55649185180664
64,1.0,1,1,32.91916847229004
65,1.0,1,1,26.833295822143555
66,1.0,1,1,26.83234214782715
67,1.0,1,1,33.77795219421387
68,1.0,1,1,26.86309814453125
69,1.0,1,1,34.4390869140625
70,1.0,1,1,26.81875228881836
71,1.0,1,1,32.898902893066406
72,1.0,1,1,27.449607849121094
73,1.0,1,1,27.46891975402832
74,1.0,1,1,28.508901596069336
75,1.0,1,1,27.542591094970703
76,1.0,1,1,27.817249298095703
77,1.0,1,1,27.797222137451172
78,1.0,1,1,27.7557373046875
79,1.0,1,1,25.817155838012695
80,1.0,1,1,31.120777130126953
81,1.0,1,1,27.71472930908203
82,1.0,1,1,28.03802490234375
83,1.0,1,1,28.142690658569336
84,1.0,1,1,27.236223220825195
85,1.0,1,1,28.03778648376465
86,1.0,1,1,27.841806411743164
87,1.0,1,1,27.788162231445312
88,1.0,1,1,37.19592094421387
89,1.0,1,1,40.299415588378906
90,1.0,1,1,27.391433715820312
91,1.0,1,1,27.798175811767578
92,1.0,1,1,27.57406234741211
93,1.0,1,1,25.778770446777344
94,1.0,1,1,26.111602783203125
95,1.0,1,1,26.787757873535156
96,1.0,1,1,26.422977447509766
97,1.0,1,1,30.545473098754883
98,1.0,1,1,36.33689880371094
99,1.0,1,1,36.04245185852051
100,1.0,1,1,27.49943733215332
101,1.0,1,1,27.410030364990234
102,1.0,1,1,30.304670333862305
103,1.0,1,1,27.425050735473633
104,1.0,1,1,27.069807052612305
105,1.0,1,1,27.31633186340332
106,1.0,1,1,39.827823638916016
107,1.0,1,1,27.658939361572266
108,1.0,1,1,26.87525749206543
109,1.0,1,1,26.570796966552734
110,1.0,1,1,25.700092315673828
111,1.0,1,1,26.531219482421875
112,1.0,1,1,27.395009994506836
113,1.0,1,1,28.230905532836914
114,1.0,1,1,26.490449905395508
115,1.0,1,1,30.8840274810791
116,1.0,1,1,27.811765670776367
117,1.0,1,1,27.408599853515625
118,1.0,1,1,27.225017547607422
119,1.0,1,1,28.056621551513672
120,1.0,1,1,28.36918830871582
121,1.0,1,1,27.194976806640625
122,1.0,1,1,36.57889366149902
123,1.0,1,1,37.04833984375
124,1.0,1,1,30.98273277282715
125,1.0,1,1,25.852680206298828
126,1.0,1,1,26.332378387451172
127,1.0,1,1,27.439594268798828
128,1.0,1,1,28.157949447631836
129,1.0,1,1,27.103424072265625
130,1.0,1,1,29.438495635986328
131,1.0,1,1,27.570247650146484
132,1.0,1,1,27.228116989135742
133,1.0,1,1,31.788110733032227
134,1.0,1,1,28.040170669555664
135,1.0,1,1,27.68230438232422
136,1.0,1,1,27.36353874206543
137,1.0,1,1,28.11884880065918
138,1.0,1,1,27.2219181060791
139,1.0,1,1,26.97467803955078
140,1.0,1,1,26.377439498901367
141,1.0,1,1,27.24146842956543
142,1.0,1,1,30.98320960998535
143,1.0,1,1,27.220726013183594
144,1.0,1,1,28.455495834350586
145,1.0,1,1,27.597427368164062
146,1.0,1,1,27.103185653686523
147,1.0,1,1,28.43928337097168
148,1.0,1,1,28.301715850830078
149,1.0,1,1,27.00519561767578
150,1.0,1,1,27.32563018798828
151,1.0,1,1,32.37581253051758
152,1.0,1,1,26.253461837768555
153,1.0,1,1,26.343584060668945
154,1.0,1,1,27.103900909423828
155,1.0,1,1,27.101516723632812
156,1.0,1,1,26.31378173828125
157,1.0,1,1,27.399063110351562
158,1.0,1,1,27.684688568115234
159,1.0,1,1,32.472848892211914
160,1.0,1,1,28.10835838317871
161,1.0,0,0,27.56357192993164
162,1.0,0,0,29.033899307250977
163,1.0,0,0,27.470827102661133
164,1.0,0,0,27.220964431762695
165,1.0,0,0,27.53901481628418
166,1.0,0,0,27.850627899169922
167,1.0,0,0,27.029752731323242
168,1.0,0,0,31.41164779663086
169,1.0,0,0,26.457786560058594
170,1.0,0,0,28.488636016845703
171,1.0,0,0,27.63986587524414
172,1.0,0,0,27.199268341064453
173,1.0,0,0,27.710914611816406
174,1.0,0,0,27.652740478515625
175,1.0,0,0,27.232885360717773
176,1.0,0,0,27.42934226989746
177,1.0,0,0,32.02676773071289
178,1.0,0,0,27.69160270690918
179,1.0,0,0,27.373313903808594
180,1.0,0,0,28.217315673828125
181,1.0,0,0,28.01370620727539
182,1.0,0,0,27.30083465576172
183,1.0,0,0,27.328014373779297
184,1.0,0,0,27.82464027404785
185,1.0,0,0,26.93653106689453
186,1.0,0,0,31.061649322509766
187,1.0,0,0,27.910470962524414
188,1.0,0,0,28.188705444335938
189,1.0,0,0,28.18155288696289
190,1.0,0,0,34.59429740905762
191,1.0,0,0,27.750730514526367
192,1.0,0,0,27.92525291442871
193,1.0,0,0,27.126789093017578
194,1.0,0,0,27.878284454345703
195,1.0,0,0,32.279253005981445
196,1.0,0,0,26.04389190673828
197,1.0,0,0,27.05073356628418
198,1.0,0,0,26.253223419189453
199,1.0,0,0,26.75461769104004
200,1.0,0,0,26.736736297607422
201,1.0,0,0,27.296781539916992
202,1.0,0,0,28.17678451538086
203,1.0,0,0,27.300596237182617
204,1.0,0,0,31.69846534729004
205,1.0,0,0,28.37824821472168
206,1.0,0,0,27.50682830810547
207,1.0,0,0,27.785301208496094
208,1.0,0,0,27.0998477935791
209,1.0,0,0,27.63676643371582
210,1.0,0,0,28.569459915161133
211,1.0,0,0,27.86874771118164
212,1.0,0,0,27.226686477661133
213,1.0,0,0,31.87870979309082
214,1.0,0,0,26.137828826904297
215,1.0,0,0,26.806354522705078
216,1.0,0,0,28.592824935913086
217,1.0,0,0,26.795148849487305
218,1.0,0,0,27.51016616821289
219,1.0,0,0,27.26125717163086
220,1.0,0,0,29.44469451904297
221,1.0,0,0,30.97677230834961
222,1.0,0,0,27.849435806274414
223,1.0,0,0,28.444766998291016
224,1.0,0,0,27.298688888549805
225,1.0,0,0,27.87637710571289
226,1.0,0,0,27.186155319213867
227,1.0,0,0,27.675867080688477
228,1.0,0,0,27.02927589416504
229,1.0,0,0,25.870323181152344
230,1.0,0,0,30.620574951171875
231,1.0,0,0,27.006149291992188
232,1.0,0,0,27.159929275512695
233,1.0,0,0,27.524709701538086
234,1.0,0,0,27.790546417236328
235,1.0,0,0,27.626752853393555
236,1.0,0,0,27.599811553955078
237,1.0,0,0,27.26912498474121
238,1.0,0,0,28.94902229309082
239,1.0,0,0,31.66508674621582
240,1.0,0,0,27.61673927307129
241,1.0,0,0,28.46360206604004
242,1.0,0,0,27.902841567993164
243,1.0,0,0,26.95298194885254
244,1.0,0,0,26.264429092407227
245,1.0,0,0,28.443098068237305
246,1.0,0,0,27.764320373535156
247,1.0,0,0,26.990413665771484
248,1.0,0,0,31.559228897094727
249,1.0,0,0,27.344226837158203
250,1.0,0,0,27.48584747314453
251,1.0,0,0,27.650833129882812
252,1.0,0,0,27.797698974609375
253,1.0,0,0,28.301477432250977
254,1.0,0,0,27.684926986694336
255,1.0,0,0,28.897762298583984
256,1.0,0,0,28.246402740478516
257,1.0,0,0,32.24325180053711
258,1.0,0,0,26.519775390625
259,1.0,0,0,27.35280990600586
260,1.0,0,0,27.193546295166016
261,1.0,0,0,27.12249755859375
262,1.0,0,0,27.15778350830078
263,1.0,0,0,28.20611000061035
264,1.0,0,0,27.999401092529297
265,1.0,0,0,30.120134353637695
266,1.0,0,0,40.18831253051758
267,1.0,0,0,28.133630752563477
268,1.0,0,0,27.58502960205078
269,1.0,0,0,27.669906616210938
270,1.0,0,0,28.145790100097656
271,1.0,0,0,27.436494827270508
272,1.0,0,0,27.230501174926758
273,1.0,0,0,29.124736785888672
274,1.0,0,0,34.55615043640137
275,1.0,0,0,31.92734718322754
276,1.0,0,0,27.498245239257812
277,1.0,0,0,27.257919311523438
278,1.0,0,0,27.846097946166992
279,1.0,0,0,27.37116813659668
280,1.0,0,0,32.70244598388672
281,1.0,0,0,32.59015083312988
282,1.0,0,0,27.346372604370117
283,1.0,0,0,32.40776062011719
284,1.0,0,0,27.83989906311035
285,0.0,0,1,27.944087982177734
286,0.0,0,1,34.552574157714844
287,0.0,0,1,26.492834091186523
288,0.0,0,1,26.575803756713867
289,0.0,0,1,26.154518127441406
290,0.0,0,1,26.561498641967773
291,0.0,0,1,26.314973831176758
292,0.0,0,1,32.10639953613281
293,0.0,0,1,27.949094772338867
294,0.0,0,1,28.233766555786133
295,0.0,0,1,27.707815170288086
296,0.0,0,1,27.392148971557617
297,0.0,0,1,28.548717498779297
298,0.0,0,1,28.74588966369629
299,0.0,0,1,27.80628204345703
300,0.0,0,1,34.99412536621094
301,0.0,0,1,40.41457176208496
302,0.0,0,1,27.230501174926758
303,0.0,0,1,28.973817825317383
304,0.0,0,1,27.97842025756836
305,0.0,0,1,27.56333351135254
306,0.0,0,1,27.390480041503906
307,0.0,0,1,27.380943298339844
308,0.0,0,1,28.172731399536133
309,0.0,0,1,27.760028839111328
310,0.0,0,1,31.560182571411133
311,0.0,0,1,27.760028839111328
312,0.0,0,1,27.131080627441406
313,0.0,0,1,28.234243392944336
314,0.0,0,1,31.278133392333984
315,0.0,0,1,28.44095230102539
316,0.0,0,1,34.20138359069824
317,0.0,0,1,26.306629180908203
318,0.0,0,1,33.776044845581055
319,0.0,0,1,31.50796890258789
320,0.0,0,1,27.887821197509766
321,0.0,0,1,32.11355209350586
322,0.0,0,1,29.633045196533203
323,0.0,0,1,28.468847274780273
324,0.0,0,1,33.991098403930664
325,0.0,0,1,35.190582275390625
326,0.0,0,1,27.56214141845703
327,0.0,0,1,27.2369384765625
328,0.0,0,1,31.5859317779541
329,0.0,0,1,27.12535858154297
330,0.0,0,1,26.923656463623047
331,0.0,0,1,27.91595458984375
332,0.0,0,1,28.150558471679688
333,0.0,0,1,26.6878604888916
334,0.0,0,1,27.725696563720703
335,0.0,0,1,27.78339385986328
336,0.0,0,1,27.276992797851562
337,0.0,0,1,31.321048736572266
338,0.0,0,1,28.729677200317383
339,0.0,0,1,27.94504165649414
