Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,385.3192329406738
1,1.0,0,0,25.864362716674805
2,1.0,0,0,28.34796905517578
3,1.0,0,0,31.55970573425293
4,1.0,0,0,24.9631404876709
5,1.0,0,0,28.966903686523438
6,1.0,0,0,26.68023109436035
7,1.0,0,0,26.51238441467285
8,1.0,0,0,30.265331268310547
9,1.0,0,0,31.10527992248535
10,1.0,0,0,26.135683059692383
11,1.0,0,0,25.929927825927734
12,1.0,0,0,25.269269943237305
13,1.0,0,0,26.647329330444336
14,1.0,0,0,30.561208724975586
15,1.0,1,1,26.051998138427734
16,1.0,1,1,26.819705963134766
17,1.0,1,1,26.073932647705078
18,1.0,1,1,25.649547576904297
19,1.0,1,1,25.550127029418945
20,1.0,1,1,26.3671875
21,1.0,1,1,25.99048614501953
22,1.0,1,1,26.125431060791016
23,1.0,1,1,29.91509437561035
24,1.0,1,1,25.883197784423828
25,1.0,1,1,29.092073440551758
26,1.0,1,1,27.79674530029297
27,1.0,1,1,26.51190757751465
28,1.0,1,1,26.097774505615234
29,1.0,1,1,26.414871215820312
30,1.0,1,1,25.376081466674805
31,1.0,1,1,25.890827178955078
32,1.0,1,1,29.795169830322266
33,1.0,1,1,25.832653045654297
34,1.0,1,1,25.966644287109375
35,1.0,1,1,25.580406188964844
36,1.0,1,1,25.751829147338867
37,1.0,1,1,25.560379028320312
38,1.0,1,1,26.38721466064453
39,1.0,1,1,25.545835494995117
40,1.0,1,1,24.980545043945312
41,1.0,1,1,29.57749366760254
42,1.0,1,1,25.983333587646484
43,1.0,1,1,25.660276412963867
44,1.0,1,1,25.925874710083008
45,1.0,1,1,36.25130653381348
46,1.0,1,1,26.60059928894043
47,1.0,1,1,26.314496994018555
48,1.0,1,1,26.55482292175293
49,1.0,1,1,29.711008071899414
50,1.0,1,1,25.112390518188477
51,1.0,1,1,24.75905418395996
52,1.0,1,1,25.658607482910156
53,1.0,1,1,25.907039642333984
54,1.0,1,1,24.984359741210938
55,1.0,1,1,24.414539337158203
56,1.0,1,1,24.893999099731445
57,1.0,1,1,25.494813919067383
58,1.0,1,1,30.262231826782227
59,1.0,1,1,26.274919509887695
60,1.0,1,1,26.1383056640625
61,1.0,1,1,26.386022567749023
62,1.0,1,1,26.065349578857422
63,1.0,1,1,36.06891632080078
64,1.0,1,1,29.277801513671875
65,1.0,1,1,25.846242904663086
66,1.0,1,1,26.398420333862305
67,1.0,1,1,29.473066329956055
68,1.0,1,1,25.513172149658203
69,1.0,1,1,25.09450912475586
70,1.0,1,1,25.997400283813477
71,1.0,1,1,24.793148040771484
72,1.0,1,1,25.18486976623535
73,1.0,1,1,24.2311954498291
74,1.0,1,1,24.70111846923828
75,1.0,1,1,25.092601776123047
76,1.0,1,1,29.84786033630371
77,1.0,1,1,26.320219039916992
78,1.0,1,1,25.792360305786133
79,1.0,1,1,25.78258514404297
80,1.0,1,1,25.752782821655273
81,1.0,1,1,25.691509246826172
82,1.0,1,1,25.68674087524414
83,1.0,1,1,30.069828033447266
84,1.0,1,1,26.881933212280273
85,1.0,1,1,30.137300491333008
86,1.0,1,1,26.156902313232422
87,1.0,1,1,26.386022567749023
88,1.0,1,1,26.323556900024414
89,1.0,1,1,26.280879974365234
90,1.0,1,1,26.12781524658203
91,1.0,1,1,26.455402374267578
92,1.0,1,1,26.325225830078125
93,1.0,1,1,25.36916732788086
94,1.0,1,1,29.718399047851562
95,1.0,1,1,25.484323501586914
96,1.0,1,1,24.512052536010742
97,1.0,1,1,31.82506561279297
98,1.0,1,1,24.46889877319336
99,1.0,1,1,25.097131729125977
100,1.0,1,1,30.539751052856445
101,1.0,1,1,25.1922607421875
102,1.0,1,1,30.3041934967041
103,1.0,1,1,31.5093994140625
104,1.0,1,1,25.736570358276367
105,1.0,1,1,26.20220184326172
106,1.0,1,1,25.70629119873047
107,1.0,1,1,26.2603759765625
108,1.0,1,1,25.659561157226562
109,1.0,1,1,26.73172950744629
110,1.0,1,1,26.193857192993164
111,1.0,1,1,29.7238826751709
112,1.0,1,1,26.86905860900879
113,1.0,1,1,26.320219039916992
114,1.0,1,1,26.37481689453125
115,1.0,1,1,26.181697845458984
116,1.0,1,1,26.315927505493164
117,1.0,1,1,26.170730590820312
118,1.0,1,1,26.463985443115234
119,1.0,1,1,25.594234466552734
120,1.0,1,1,38.96379470825195
121,1.0,1,1,25.66838264465332
122,1.0,1,1,25.849580764770508
123,1.0,1,1,25.996923446655273
124,1.0,1,1,25.949478149414062
125,1.0,1,1,26.776552200317383
126,1.0,1,1,26.562213897705078
127,1.0,1,1,25.966882705688477
128,1.0,1,1,26.3826847076416
129,1.0,1,1,30.730247497558594
130,1.0,1,1,29.27851676940918
131,1.0,1,1,26.543617248535156
132,1.0,1,1,24.98626708984375
133,1.0,1,1,24.901390075683594
134,1.0,1,1,31.823396682739258
135,1.0,1,1,24.83367919921875
136,1.0,1,1,24.909019470214844
137,1.0,1,1,24.999618530273438
138,1.0,1,1,29.965639114379883
139,1.0,1,1,36.50474548339844
140,1.0,1,1,33.90622138977051
141,1.0,1,1,25.876283645629883
142,1.0,1,1,26.303529739379883
143,1.0,1,1,25.99644660949707
144,1.0,1,1,26.429414749145508
145,1.0,1,1,26.14450454711914
146,1.0,1,1,25.925397872924805
147,1.0,1,1,30.259370803833008
148,1.0,1,1,26.064634323120117
149,1.0,1,1,25.739431381225586
150,1.0,1,1,25.931119918823242
151,1.0,1,1,26.160001754760742
152,1.0,1,1,26.08656883239746
153,1.0,1,1,26.472091674804688
154,1.0,1,1,31.560897827148438
155,1.0,1,1,26.065587997436523
156,1.0,1,1,30.94482421875
157,1.0,1,1,27.150630950927734
158,1.0,1,1,24.749279022216797
159,1.0,1,1,25.195598602294922
160,1.0,1,1,33.39982032775879
161,1.0,1,1,25.11143684387207
162,1.0,1,1,25.62546730041504
163,1.0,1,1,25.02894401550293
164,1.0,1,1,24.82771873474121
165,1.0,1,1,29.476642608642578
166,1.0,1,1,26.230335235595703
167,1.0,1,1,26.340484619140625
168,1.0,1,1,26.189327239990234
169,1.0,1,1,25.897741317749023
170,1.0,1,1,26.322126388549805
171,1.0,1,1,26.582002639770508
172,1.0,1,1,25.88057518005371
173,1.0,1,1,30.03096580505371
174,1.0,1,1,31.9216251373291
175,1.0,1,1,35.93587875366211
176,1.0,1,1,26.422739028930664
177,1.0,1,1,25.675296783447266
178,1.0,1,1,25.98738670349121
179,1.0,1,1,26.232481002807617
