Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,369.1754341125488
1,1.0,0,0,24.140596389770508
2,1.0,0,0,24.622678756713867
3,1.0,0,0,23.242473602294922
4,1.0,0,0,23.33521842956543
5,1.0,0,0,23.36287498474121
6,1.0,0,0,25.6350040435791
7,1.0,0,0,23.68927001953125
8,1.0,0,0,23.358821868896484
9,1.0,0,0,24.66273307800293
10,1.0,0,0,24.474382400512695
11,1.0,0,0,26.860475540161133
12,1.0,0,0,23.648500442504883
13,1.0,0,0,24.50728416442871
14,1.0,0,0,22.941112518310547
15,1.0,0,0,23.24223518371582
16,1.0,0,0,25.00176429748535
17,1.0,0,0,23.096323013305664
18,1.0,0,0,22.95231819152832
19,1.0,0,0,25.25472640991211
20,1.0,0,0,27.688980102539062
21,1.0,0,0,23.349523544311523
22,1.0,0,0,22.70817756652832
23,1.0,0,0,23.82493019104004
24,1.0,0,0,23.566007614135742
25,1.0,0,0,23.04816246032715
26,1.0,0,0,22.986412048339844
27,1.0,0,0,23.188114166259766
28,1.0,0,0,24.215221405029297
29,1.0,0,0,27.97722816467285
30,1.0,0,0,23.271799087524414
31,1.0,0,0,23.855209350585938
32,1.0,0,0,23.551464080810547
33,1.0,0,0,23.926734924316406
34,1.0,0,0,23.09250831604004
35,1.0,0,0,23.261547088623047
36,1.0,0,0,23.070812225341797
37,1.0,0,0,23.57649803161621
38,1.0,0,0,26.79443359375
39,1.0,0,0,24.15943145751953
40,1.0,0,0,23.737430572509766
41,1.0,0,0,23.276090621948242
42,1.0,0,0,24.717092514038086
43,1.0,0,0,23.716449737548828
44,1.0,0,0,23.229598999023438
45,1.0,0,0,23.093461990356445
46,1.0,0,0,26.29995346069336
47,1.0,0,0,23.25916290283203
48,1.0,0,0,23.213863372802734
49,1.0,0,0,24.164199829101562
50,1.0,0,0,24.198293685913086
51,1.0,0,0,23.40531349182129
52,1.0,0,0,23.136615753173828
53,1.0,0,0,23.806095123291016
54,1.0,0,0,23.4072208404541
55,1.0,0,0,26.569604873657227
56,1.0,0,0,23.556232452392578
57,1.0,0,0,24.504661560058594
58,1.0,0,0,24.115324020385742
59,1.0,0,0,24.24907684326172
60,1.0,0,0,24.441957473754883
61,1.0,0,0,23.75006675720215
62,1.0,0,0,23.169517517089844
63,1.0,0,0,23.65279197692871
64,1.0,0,0,26.467323303222656
65,1.0,0,0,24.631977081298828
66,1.0,0,0,24.080276489257812
67,1.0,0,0,23.40531349182129
68,1.0,0,0,23.078441619873047
69,1.0,0,0,26.02553367614746
70,1.0,0,0,24.084806442260742
71,1.0,0,0,23.580074310302734
72,1.0,0,0,23.765087127685547
73,1.0,0,0,26.92723274230957
74,1.0,0,0,23.179292678833008
75,1.0,0,0,22.984743118286133
76,1.0,0,0,23.40841293334961
77,1.0,0,0,23.079872131347656
78,1.0,0,0,22.90630340576172
79,1.0,0,0,23.473501205444336
80,1.0,0,0,23.866653442382812
81,1.0,0,0,23.476600646972656
82,1.0,0,0,26.796817779541016
83,1.0,0,0,23.447275161743164
84,1.0,0,0,24.222850799560547
85,1.0,0,0,22.705554962158203
86,1.0,0,0,22.69768714904785
87,1.0,0,0,23.383140563964844
88,1.0,0,0,23.42677116394043
89,1.0,0,0,25.6040096282959
90,1.0,0,0,23.45871925354004
91,1.0,0,0,26.612520217895508
92,1.0,0,0,23.31399917602539
93,1.0,0,0,23.247480392456055
94,1.0,0,0,22.63355255126953
95,1.0,0,0,24.59549903869629
96,1.0,0,0,23.913860321044922
97,1.0,0,0,24.349451065063477
98,1.0,0,0,23.06365966796875
99,1.0,0,0,25.11763572692871
100,1.0,0,0,27.570724487304688
101,1.0,0,0,23.429393768310547
102,1.0,0,0,23.1630802154541
103,1.0,0,0,23.687124252319336
104,1.0,0,0,23.03028106689453
105,1.0,0,0,23.036479949951172
106,1.0,0,0,22.811174392700195
107,1.0,0,0,23.41151237487793
108,1.0,0,0,26.758670806884766
109,1.0,0,0,24.037599563598633
110,1.0,0,0,24.26457405090332
111,1.0,0,0,23.827791213989258
112,1.0,0,0,23.03767204284668
113,1.0,0,0,23.509740829467773
114,1.0,0,0,24.062395095825195
115,1.0,0,0,23.192644119262695
116,1.0,0,0,23.62203598022461
117,1.0,0,0,26.708602905273438
118,1.0,0,0,23.20408821105957
119,1.0,0,0,25.02918243408203
120,1.0,0,0,24.018526077270508
121,1.0,0,0,23.045778274536133
122,1.0,0,0,23.277997970581055
123,1.0,0,0,23.046255111694336
124,1.0,0,0,22.731781005859375
125,1.0,0,0,23.476600646972656
126,1.0,0,0,27.93121337890625
127,1.0,0,0,23.941993713378906
128,1.0,0,0,23.48160743713379
129,1.0,0,0,26.35645866394043
130,1.0,0,0,23.973703384399414
131,1.0,0,0,23.156166076660156
132,1.0,0,0,22.759199142456055
133,1.0,0,0,22.765636444091797
134,1.0,0,0,22.878646850585938
135,1.0,0,0,26.5047550201416
136,1.0,0,0,23.227453231811523
137,1.0,0,0,23.81753921508789
138,1.0,0,0,23.560762405395508
139,1.0,0,0,25.055885314941406
140,1.0,0,0,23.747682571411133
141,1.0,0,0,23.35834503173828
142,1.0,0,0,23.07724952697754
143,1.0,0,0,24.582624435424805
144,1.0,0,0,27.176618576049805
145,1.0,0,0,23.488283157348633
146,1.0,0,0,24.061918258666992
147,1.0,0,0,23.583650588989258
148,1.0,0,0,23.034095764160156
149,1.0,0,0,25.135278701782227
150,1.0,0,0,23.617029190063477
151,1.0,0,0,23.284196853637695
152,1.0,0,0,24.57880973815918
153,1.0,0,0,27.97722816467285
154,1.0,0,0,23.72264862060547
155,1.0,0,0,23.323774337768555
156,1.0,0,0,22.950172424316406
157,1.0,0,0,22.977828979492188
158,1.0,0,0,23.278236389160156
159,1.0,0,0,24.97577667236328
160,1.0,0,0,24.047374725341797
161,1.0,0,0,23.250341415405273
162,1.0,0,0,26.952743530273438
163,1.0,0,0,23.232221603393555
164,1.0,0,0,22.99356460571289
165,1.0,0,0,23.579835891723633
166,1.0,0,0,23.456573486328125
167,1.0,0,0,23.75173568725586
168,1.0,0,0,23.5745906829834
169,1.0,0,0,23.96559715270996
170,1.0,0,0,27.446746826171875
171,1.0,0,0,23.351430892944336
172,1.0,0,0,23.101806640625
173,1.0,0,0,23.720979690551758
