Cycle,True_labels,Predicted_labels,Accuracy,Run_times
0,1.0,0,0,391.84069633483887
1,1.0,0,0,27.659893035888672
2,1.0,0,0,27.36949920654297
3,1.0,0,0,27.13322639465332
4,1.0,0,0,26.224136352539062
5,1.0,0,0,26.627540588378906
6,1.0,0,0,25.982141494750977
7,1.0,0,0,25.482654571533203
8,1.0,0,0,25.787830352783203
9,1.0,0,0,25.583505630493164
10,1.0,0,0,30.770540237426758
11,1.0,0,0,26.531219482421875
12,1.0,0,0,26.440858840942383
13,1.0,0,0,26.564598083496094
14,1.0,0,0,26.89528465270996
15,1.0,0,0,26.395082473754883
16,1.0,0,0,26.769161224365234
17,1.0,0,0,26.005983352661133
18,1.0,0,0,27.32396125793457
19,1.0,0,0,30.167341232299805
20,1.0,0,0,26.547908782958984
21,1.0,0,0,27.58193016052246
22,1.0,0,0,27.301311492919922
23,1.0,0,0,26.529788970947266
24,1.0,0,0,26.30138397216797
25,1.0,0,0,27.364492416381836
26,1.0,0,0,26.627063751220703
27,1.0,0,0,35.77399253845215
28,1.0,0,0,35.069942474365234
29,1.0,0,0,24.82771873474121
30,1.0,0,0,25.228500366210938
31,1.0,0,0,25.162220001220703
32,1.0,0,0,26.102066040039062
33,1.0,0,0,26.03602409362793
34,1.0,0,0,25.075435638427734
35,1.0,0,0,32.033681869506836
36,1.0,0,0,26.041507720947266
37,1.0,0,0,29.523849487304688
38,1.0,0,0,25.884151458740234
39,1.0,0,0,26.211977005004883
40,1.0,0,0,26.601076126098633
41,1.0,0,0,25.899171829223633
42,1.0,0,0,25.614023208618164
43,1.0,0,0,26.51691436767578
44,1.0,0,0,26.92556381225586
45,1.0,0,0,26.090383529663086
46,1.0,0,0,30.054807662963867
47,1.0,0,0,27.677297592163086
48,1.0,0,0,26.497840881347656
49,1.0,0,0,26.697635650634766
50,1.0,0,0,27.86874771118164
51,1.0,0,0,26.89361572265625
52,1.0,0,0,27.150869369506836
53,1.0,0,0,26.768922805786133
54,1.0,0,0,26.538372039794922
55,1.0,0,0,29.703140258789062
56,1.0,0,0,26.328325271606445
57,1.0,0,0,25.841236114501953
58,1.0,0,0,28.02729606628418
59,1.0,0,0,34.903526306152344
60,1.0,0,0,33.70833396911621
61,1.0,0,0,26.23581886291504
62,1.0,0,0,25.293350219726562
63,1.0,0,0,33.18905830383301
64,1.0,0,0,29.71816062927246
65,1.0,0,0,26.59153938293457
66,1.0,0,0,25.145292282104492
67,1.0,0,0,25.897979736328125
68,1.0,0,0,25.888919830322266
69,1.0,0,0,25.884628295898438
70,1.0,0,0,26.46660804748535
71,1.0,0,0,25.981664657592773
72,1.0,0,0,30.866622924804688
73,1.0,0,0,26.89504623413086
74,1.0,0,0,26.618480682373047
75,1.0,0,0,26.953935623168945
76,1.0,0,0,28.4271240234375
77,1.0,0,0,29.41274642944336
78,1.0,0,0,27.18496322631836
79,1.0,0,0,26.935815811157227
80,1.0,0,0,26.5500545501709
81,1.0,0,0,30.280590057373047
82,1.0,0,0,25.580883026123047
83,1.0,0,0,26.92246437072754
84,1.0,0,0,25.452375411987305
85,1.0,0,0,24.631500244140625
86,1.0,0,0,32.346487045288086
87,1.0,0,0,26.24797821044922
88,1.0,0,0,25.564908981323242
89,1.0,0,0,25.267601013183594
90,1.0,0,0,30.07340431213379
91,1.0,0,0,27.083396911621094
92,1.0,0,0,26.173114776611328
93,1.0,0,0,25.7260799407959
94,1.0,0,0,27.451753616333008
95,1.0,0,0,29.977798461914062
96,1.0,0,0,26.912927627563477
97,1.0,0,0,26.085376739501953
98,1.0,0,0,26.564359664916992
99,1.0,0,0,30.16805648803711
100,1.0,0,0,32.87816047668457
101,1.0,0,0,28.993606567382812
102,1.0,0,0,27.36210823059082
103,1.0,0,0,25.747299194335938
104,1.0,0,0,30.39264678955078
105,1.0,0,0,25.80094337463379
106,1.0,0,0,25.819778442382812
107,1.0,0,0,24.7189998626709
108,1.0,0,0,28.624773025512695
109,1.0,0,0,25.758028030395508
110,1.0,0,0,24.843454360961914
111,1.0,0,0,24.83344078063965
112,1.0,0,0,32.559871673583984
113,1.0,0,0,31.3112735748291
114,1.0,0,0,26.787757873535156
115,1.0,0,0,26.180505752563477
116,1.0,0,0,27.636289596557617
117,1.0,0,0,30.301809310913086
118,1.0,0,0,26.146650314331055
119,1.0,0,0,25.958776473999023
120,1.0,0,0,27.44603157043457
121,1.0,0,0,26.666641235351562
122,1.0,0,0,26.09729766845703
123,1.0,0,0,27.02808380126953
124,1.0,0,0,27.569293975830078
125,1.0,0,0,26.45134925842285
126,1.0,0,0,29.828548431396484
127,1.0,0,0,27.933835983276367
128,1.0,0,0,26.208162307739258
129,1.0,0,0,25.374889373779297
130,1.0,0,0,24.206876754760742
131,1.0,0,0,25.822162628173828
132,1.0,0,0,24.970293045043945
133,1.0,0,0,25.32505989074707
134,1.0,0,0,28.862714767456055
135,1.0,0,0,25.769472122192383
